model,season,metric,stage,HWN,HWF,HWD,HWM,HWA,Average,id_data
Linear,1,r2,prediction,-1.6429458091405835,-0.45182557926803946,-0.356029349280395,-0.5747328086704515,-0.5552942331343858,-0.7161655558987711,6e47cb06
RF5,1,r2,prediction,0.06158940397350976,0.1888553576741615,-0.14627440005597125,-0.26131554834962967,-0.2458588906494512,-0.08060081548147617,6e47cb06
RF10,1,r2,prediction,-0.2068708609271519,0.02744506311896977,-0.17761841460854955,-0.24029104068976515,-0.35094767766510104,-0.18965658615431957,6e47cb06
SVR-rbf,1,r2,prediction,-0.5976623298932568,-0.5715922250146908,-0.6807609011156894,-0.6993998993053614,-0.6817418353534406,-0.6462314381364879,6e47cb06
XGB10,1,r2,prediction,-0.4869644701381197,-0.4083856306017979,-0.011741958037745137,-0.34426031049132266,-0.2824880913578367,-0.30676809212536443,6e47cb06
XGB15,1,r2,prediction,-0.4469074238608832,-0.22279294225876045,0.14257625190719392,-0.2411491971026385,-0.24079588002251384,-0.2018138382675204,6e47cb06
GPR,1,r2,prediction,-0.20347885536482635,-0.3009844414490095,-0.4136829729332716,-0.3878241870111401,-0.3595261800582208,-0.3330993273632937,6e47cb06
Linear,2,r2,prediction,0.23601392754495054,0.3637742841721744,0.31027956486198627,0.1280890190116033,0.13670015752933062,0.23497139062400904,6e47cb06
RF5,2,r2,prediction,-0.39607843137254894,-0.6694172858818928,0.2070867726998188,-0.7303551987327188,-0.21335825324865043,-0.36042447930719845,6e47cb06
RF10,2,r2,prediction,-0.2428921568627449,-0.1780660930778255,0.23071270384537967,-0.18937048954153557,-0.5378246148545773,-0.18348813009826073,6e47cb06
SVR-rbf,2,r2,prediction,-0.0988653762466718,-0.1916325800017349,-0.036343961036179984,-0.10765732489809365,-0.10504071491243394,-0.10790799141902285,6e47cb06
XGB10,2,r2,prediction,0.18560231555022322,0.010989143963320624,0.2217211053073499,0.16316389629670036,0.013861641117839496,0.11906762044708671,6e47cb06
XGB15,2,r2,prediction,0.10045738027654727,0.04728803189867792,0.1976255652833503,0.25006404167461915,-0.1375659939625158,0.09157380503413577,6e47cb06
GPR,2,r2,prediction,-0.025794878606407945,-0.12370167349323569,-0.0026390037006307487,-0.023138043170217726,-0.029856576477246044,-0.04102603508954763,6e47cb06
Linear,3,r2,prediction,-4.368415321839004,-10.709309707394599,-6.22093655968227,-2.9992530422209565,-3.6284120106962874,-5.585265328366623,6e47cb06
RF5,3,r2,prediction,-4.93450704225352,-3.065078740157481,-1.6320905459387474,-0.7143650605933536,-0.9891487185517462,-2.2670380214989696,6e47cb06
