model,season,metric,stage,HWN,HWF,HWD,HWM,HWA,Average,id_data
Linear,1,r2,prediction,-0.5541156403428329,-0.48600503044768883,-0.5524740544097835,-0.21820272997907186,0.15954889906119707,-0.330249711223636,f2a9d7a9
RF5,1,r2,prediction,-2.0924528301886784,-1.2224448897795597,-1.278692307692308,-1.5763883434596355,-1.808585758106179,-1.5957128258452724,f2a9d7a9
RF10,1,r2,prediction,-2.115566037735849,-1.3319138276553106,-1.2992115384615386,-1.1669627802209788,-1.2573458526835903,-1.4342000073514534,f2a9d7a9
SVR-rbf,1,r2,prediction,-0.8516488532555728,-1.4549433106220895,-0.9615839673897819,-0.7194678906254222,-1.2390790687297404,-1.0453446181245214,f2a9d7a9
XGB10,1,r2,prediction,-0.529037386090699,-0.9226810573661464,-0.3470756551292675,-2.099681244063243,-2.939682621790405,-1.367631592887952,f2a9d7a9
XGB15,1,r2,prediction,-0.9067256009899352,-0.7715318565558529,-0.32376911572430145,-2.168105337757712,-4.285582286194295,-1.6911428394444195,f2a9d7a9
GPR,1,r2,prediction,-0.7262534770781739,-1.0799055721053006,-0.8563805971667648,-0.47165137624972986,-0.5403088786969981,-0.7348999802593935,f2a9d7a9
Linear,2,r2,prediction,-3.417358528421796,-2.9439550427650993,-9.330795200548282,0.6777847532556587,0.495325844581501,-2.903799634779604,f2a9d7a9
RF5,2,r2,prediction,-3.6699115044247783,-2.884997699033593,-6.3493273542600885,-0.4331284976523022,-0.5032672031751713,-2.7681264517091866,f2a9d7a9
RF10,2,r2,prediction,-3.4247787610619476,-3.0694431661297736,-7.282286995515694,-0.43590337074333885,-0.5799175289694822,-2.958465964484047,f2a9d7a9
SVR-rbf,2,r2,prediction,-4.818350096189289,-4.639713298112921,-10.83027782743482,-1.8307829058221183,-2.691667019424425,-4.9621582293967155,f2a9d7a9
XGB10,2,r2,prediction,-4.488331777113875,-3.8235868865098936,-9.63827041560189,-0.37939216994622105,-0.8488695888568187,-3.8356901676057396,f2a9d7a9
XGB15,2,r2,prediction,-4.4842201981409495,-3.7832721536632334,-9.740627909320475,-0.14250146543784914,-0.863206875570834,-3.802765720426669,f2a9d7a9
GPR,2,r2,prediction,-3.820036705311103,-3.4809876555412833,-8.672167575272812,-0.9716909032953476,-1.6157818622023288,-3.712132940324575,f2a9d7a9
Linear,3,r2,prediction,-1.4132651709824926,-1.322793278947775,-1.5575788427962043,-1.1622998226892163,-1.0915825684154208,-1.3095039367662218,f2a9d7a9
RF5,3,r2,prediction,-0.03537735849056611,-2.403701812611691,-2.686169321039396,-1.1869070143051212,-1.2219681898329977,-1.5068247392559544,f2a9d7a9
RF10,3,r2,prediction,-0.41568396226415105,-1.9529423027827417,-2.445222129086336,-1.2367538568469758,-1.8277833613011958,-1.57567712245628,f2a9d7a9
SVR-rbf,3,r2,prediction,-0.6037635847763423,-0.6077576545363352,-0.5738121301154708,-0.8501178945921863,-0.9986366922483876,-0.7268175912537445,f2a9d7a9
XGB10,3,r2,prediction,-0.43525317221555837,-0.6636279289766744,-1.000065508107236,-0.7014855655564189,-1.4557256462120436,-0.8512315642135864,f2a9d7a9
XGB15,3,r2,prediction,-0.831264908192705,-1.2693584501458073,-1.8699026480452798,-1.0090192924409336,-2.4103605034947697,-1.477981160463899,f2a9d7a9
GPR,3,r2,prediction,-1.4935689456162686,-1.0271322202164854,-1.757767608732094,-1.4995245453452122,-1.468982493145829,-1.4493951626111776,f2a9d7a9
Linear,4,r2,prediction,-3.880710447953766,-3.4785314244557872,-2.224829456601803,-2.1961409962312084,-1.1325836268997356,-2.5825591904284604,f2a9d7a9
RF5,4,r2,prediction,-4.130769230769233,-4.745384615384613,-0.8314720812182741,-0.5063109690230971,-0.2330331369132661,-2.0893940066616965,f2a9d7a9
RF10,4,r2,prediction,-3.630769230769231,-5.823846153846156,-0.42081218274111687,-1.0324478937594104,-0.7470299091775094,-2.330981074058685,f2a9d7a9
SVR-rbf,4,r2,prediction,-0.34619717306731235,-0.7692403478970189,-0.9160808043661195,-0.4158696681792573,-0.6064095645580361,-0.6107595116135489,f2a9d7a9
XGB10,4,r2,prediction,-5.599014249078418,-3.752744077776491,-0.32159778303553255,-0.9870038564652377,-0.9328485506092599,-2.318641703392988,f2a9d7a9
XGB15,4,r2,prediction,-9.055076650022908,-6.480433909223679,-1.3592581953783487,-1.3721442055475195,-1.3122382529282768,-3.915830242620147,f2a9d7a9
GPR,4,r2,prediction,-0.00967093897762683,-0.004281741454570387,-0.025260151599685088,-0.023107956556327247,-1.1808388458896295,-0.24863192689556782,f2a9d7a9
Linear,5,r2,prediction,-0.4074614276159152,-0.4188969712395967,-0.41871724646937114,-0.3062493408899638,-0.2864253061661759,-0.36755005847620453,f2a9d7a9
RF5,5,r2,prediction,-0.258798283261803,-0.4808320950965823,-0.410995542347697,-0.49938072315934634,-0.4748848436000499,-0.4249782974930957,f2a9d7a9
RF10,5,r2,prediction,-0.2528969957081548,-0.474127043090639,-0.48380386329866254,-0.4136260079978624,-0.3579381006962308,-0.39647840215830993,f2a9d7a9
SVR-rbf,5,r2,prediction,-0.30901369348424956,-0.4459620895625751,-0.5416280925056705,-0.4295555600672414,-0.4709573979215891,-0.4394233667082651,f2a9d7a9
XGB10,5,r2,prediction,-0.31564625593192885,-0.3671409479293861,-0.40466186177985697,-0.2714639094745581,-0.4206930633827175,-0.3559212076996895,f2a9d7a9
XGB15,5,r2,prediction,-0.30095322031877125,-0.3492122345525315,-0.42795673564625214,-0.26532299087046307,-0.4166540458941359,-0.3520198454564308,f2a9d7a9
GPR,5,r2,prediction,-0.3819479162678363,-0.39013135161183277,-0.46161846221468417,-0.30860861984940313,-0.3098417033084704,-0.37042961065044533,f2a9d7a9
Linear,6,r2,prediction,-0.04195470437566651,-0.00309111198968548,-0.03054709171935799,0.11306511369699368,0.2721259670657342,0.061919634535603583,f2a9d7a9
RF5,6,r2,prediction,-0.08750000000000036,-0.12118055555555562,-0.20138888888888884,-0.4891009801515087,-0.4230708080654737,-0.26444824653228544,f2a9d7a9
RF10,6,r2,prediction,-0.03437499999999982,0.1820312500000002,-0.13342013888888893,-0.10564748780937538,-0.16225143329192804,-0.0507325619980384,f2a9d7a9
SVR-rbf,6,r2,prediction,-0.015716501061481036,-0.08507202759061938,-0.08507202759061938,-0.017314092146086812,-0.07709081686565922,-0.05605309305089316,f2a9d7a9
XGB10,6,r2,prediction,-0.004171873286369365,-0.08929867650833034,-0.913794612309383,-0.3668927485343252,-0.0588015219089455,-0.28659188650947065,f2a9d7a9
XGB15,6,r2,prediction,0.09823246097658245,-0.23868264643525516,-1.1806709153352353,-0.458916868517105,-0.037978323484383125,-0.36360325855907927,f2a9d7a9
GPR,6,r2,prediction,-0.0748242624446307,-0.1369968319984063,-0.07738013746365535,-0.02638046883529599,-0.03280133644469285,-0.06967660743733624,f2a9d7a9
Linear,7,r2,prediction,0.13522629319590318,0.3773946991927897,0.4480643739426766,0.020953650227570786,0.19931686553865868,0.23619117641951978,f2a9d7a9
RF5,7,r2,prediction,-1.0056603773584905,-0.7324521422060166,-0.3597938144329895,-0.13449156765653392,-1.1576473779552812,-0.6780090559218623,f2a9d7a9
RF10,7,r2,prediction,-0.5448113207547163,-0.49416590701914354,-0.22278350515463918,-0.3785217258098288,-0.5322571489732852,-0.4345079215423226,f2a9d7a9
SVR-rbf,7,r2,prediction,-0.6038886004139805,-0.6072603795873464,-0.7796732397843575,-0.7721397404522679,-0.9582299066318807,-0.7442383733739666,f2a9d7a9
XGB10,7,r2,prediction,-1.5582134496416953,-1.0280029861108706,-1.5166386613755671,-0.8252389634871449,-0.5806448060501481,-1.1017477733330852,f2a9d7a9
XGB15,7,r2,prediction,-2.112110100711457,-1.3929376786594379,-1.8059273637246491,-0.888956996832311,-0.6979936912150189,-1.3795851662285747,f2a9d7a9
GPR,7,r2,prediction,-0.3252942645466399,-0.5912343259142072,-0.9127059872280745,-0.24891943411794903,-0.23748539959648718,-0.46312788228067153,f2a9d7a9
