model,season,metric,stage,HWN,HWF,HWD,HWM,HWA,Average,id_data
RNN16,1,r2,prediction,-1.1379808738025523,-0.10146742923041319,-0.5408615296547021,0.004723956865572476,-1.2454052642586007,-0.6041982280161392,978f49d7
LSTM16,1,r2,prediction,-0.2966154210604772,-0.2937269845642805,-0.6116021778480296,-0.13657401120074386,0.0034549040997464697,-0.26701273811475695,978f49d7
GRU16,1,r2,prediction,-0.4511690212746786,-0.8751573068845924,-0.5206030538018114,-0.5497538110046787,-0.11321138193109914,-0.501978914979372,978f49d7
SRNN16,1,r2,prediction,-1.1219524684670672,-0.5901024032902287,0.306275561977685,-0.5615153442709635,-1.1160730097663252,-0.6166735327633799,978f49d7
SLSTM16,1,r2,prediction,-0.13491358760626726,-0.41583687893774446,-0.338186933283956,0.019838337601095324,-0.10437801546848569,-0.1946954155390716,978f49d7
CNNRNN16,1,r2,prediction,0.1542192548226864,-0.4893894261133278,-1.1820886647140556,-0.39362912601634314,-0.12805419605564783,-0.4077884316153376,978f49d7
CNNLSTM16,1,r2,prediction,-0.018586463687568777,-0.3447597646458158,-0.47747232655910676,-0.10426991803226682,-0.2904315389262053,-0.2471040023701927,978f49d7
MLP16,1,r2,prediction,-1.202268880088467,0.3631605436164844,-0.10885433032567149,-1.1156266681994067,-1.0372230996223197,-0.6201624869238761,978f49d7
RNN16,2,r2,prediction,-2.8117208419314,-3.8913317526550797,-2.3078127165392854,-0.3662686908453976,-1.983482224756401,-2.2721232453455125,978f49d7
LSTM16,2,r2,prediction,-2.1699386360607558,-2.524677749091019,-6.212254234580583,-1.3666246106188318,-1.9280319408295261,-2.840305434236144,978f49d7
GRU16,2,r2,prediction,-2.7555382418053895,-2.3313965954849447,-8.986677923090053,-1.3660405235554531,-0.9475598504316325,-3.277442626873494,978f49d7
SRNN16,2,r2,prediction,-1.4878363536777712,-1.6989427819209442,-13.24524759143979,-0.6888516097863076,-3.298751410787448,-4.0839259495224525,978f49d7
SLSTM16,2,r2,prediction,-2.8265302281116678,-2.712073504377953,-6.630122650898328,-1.2418101477633856,-1.6424116013450143,-3.0105896264992693,978f49d7
CNNRNN16,2,r2,prediction,-4.8185608189004485,-4.714505264808406,-15.722244019832747,-0.522163072995518,-0.8435666619992732,-5.324207967707279,978f49d7
CNNLSTM16,2,r2,prediction,-2.695293428431192,-2.464857590140259,-7.722318412138209,-1.1710196517319216,-1.621219095150738,-3.1349416355184636,978f49d7
MLP16,2,r2,prediction,-3.022274408664469,-6.383649508671127,-22.757677003846002,-1.334646073509159,-1.9497363236233864,-7.089596663662829,978f49d7
RNN16,3,r2,prediction,-0.08397772868882525,-0.4126523399469697,-0.16068322405734392,-0.5530523514583758,-0.3593967283159456,-0.31395247449349206,978f49d7
LSTM16,3,r2,prediction,-0.128837701837212,-0.1540960380941505,-0.2929822477956734,-0.3059789349980253,-0.29384371500364304,-0.23514772754574084,978f49d7
GRU16,3,r2,prediction,-0.22303595776668694,-0.13398759042755848,-0.27642946338355756,-0.04662472591798017,-0.3764262545306871,-0.21130079840529406,978f49d7
SRNN16,3,r2,prediction,0.14703135610745532,-1.1649785419626517,-1.7934922124583124,-0.443339913681182,-0.09026136130939899,-0.669008134660818,978f49d7
SLSTM16,3,r2,prediction,-0.17830812696834797,-0.16529649866399576,-0.18944944870347613,-0.21847304717595328,-0.1985096642647206,-0.19000735715529876,978f49d7
CNNRNN16,3,r2,prediction,-0.22633848582301574,-0.14017048936291032,-0.03275461704921434,-1.1350569856460297,-0.37464546484960115,-0.3817932085461543,978f49d7
CNNLSTM16,3,r2,prediction,-0.28571881543526256,-0.3763972286104442,-0.041618761730183085,-0.2644159171567395,-0.3471959925604311,-0.2630693430986121,978f49d7
MLP16,3,r2,prediction,-0.25255261064686363,-0.44187806745998737,0.07516039221087611,-0.3005191530722495,-0.6537138692740725,-0.3147006616484594,978f49d7
RNN16,4,r2,prediction,0.023617743431909477,-0.3604783748715763,-1.4441607532374507,-0.19910377318577233,-0.33990113520901355,-0.4640052586143807,978f49d7
LSTM16,4,r2,prediction,-0.06067136706062515,0.06755873384659583,-0.1836852529764854,-0.004059265556336289,0.009239803579446426,-0.034323469633480916,978f49d7
GRU16,4,r2,prediction,0.3997484754227525,-0.2286733715482836,-0.4989026129329195,-0.5615329792284436,-0.09813843036218484,-0.1974997837298158,978f49d7
SRNN16,4,r2,prediction,-4.986368506964659,-1.3502929324691482,-0.609944353070768,0.13998506587438142,-0.1742958975140565,-1.3961833248288502,978f49d7
SLSTM16,4,r2,prediction,-0.04276804667004064,-0.06640087363862146,0.004143913508317221,-0.06464327296649186,-0.0067399696215852956,-0.03528164987768441,978f49d7
CNNRNN16,4,r2,prediction,-1.3013248699261633,-1.4811760857923066,-0.16807674064244438,0.10172657828628373,-0.6479587862136758,-0.6993619808576612,978f49d7
CNNLSTM16,4,r2,prediction,-0.11127679590965478,-0.4112706694017725,0.16118521294660237,-0.11224238323686331,0.1911603976001468,-0.05648884760030828,978f49d7
MLP16,4,r2,prediction,-1.2940197562584994,-3.3101321837870143,-0.2905441482811142,-0.5352764625062165,-0.1815783625134484,-1.1223101826692585,978f49d7
RNN16,5,r2,prediction,-0.31609340301711386,-0.3262477998309423,-0.375840479616141,-0.32935139513263967,-0.27960732735920457,-0.3254280809912083,978f49d7
LSTM16,5,r2,prediction,-0.2652944627119953,-0.32202885437258866,-0.32910993938531186,-0.2114410766962873,-0.2346152079718331,-0.2724979082276032,978f49d7
GRU16,5,r2,prediction,-0.2704677969136653,-0.23093141532988137,-0.01044987384730689,-0.2084767682047075,-0.3962174079248908,-0.22330865244409037,978f49d7
SRNN16,5,r2,prediction,-0.122597979879427,-0.21831817133526354,-0.030825020805583137,-0.1283032151541854,-0.15393071849549034,-0.13079502113398989,978f49d7
SLSTM16,5,r2,prediction,-0.21440561597941832,-0.23786589262988622,-0.212921377171289,-0.26464892216253855,-0.2616422282419091,-0.23829680723700825,978f49d7
CNNRNN16,5,r2,prediction,-0.14703598746883673,-0.26043228920126005,0.050349371697877676,-0.012654436796242008,-0.36103890976933006,-0.14616245030755823,978f49d7
CNNLSTM16,5,r2,prediction,-0.3227865445061395,-0.18270963470198542,-0.21444620412930182,-0.2930045888282735,-0.38467623813115237,-0.27952464205937055,978f49d7
MLP16,5,r2,prediction,-0.24005625062989644,-0.25226475798021775,-0.2424766510713472,-0.45586658010803416,-0.20958616865211144,-0.2800500816883214,978f49d7
RNN16,6,r2,prediction,0.18805916418913726,0.023591292157736032,0.044313026867406236,0.06883648930875597,-0.06386004986533433,0.052187984531540235,978f49d7
LSTM16,6,r2,prediction,-0.0456532780736747,0.02256974121935118,0.011106477262323833,-0.0494670992200561,-0.005350716607721573,-0.013358975083955471,978f49d7
GRU16,6,r2,prediction,-0.11454578884412503,-0.024173561953111378,-0.0019350416525270031,-0.013668705603290032,-0.08744593324286609,-0.04835380625918391,978f49d7
SRNN16,6,r2,prediction,0.2048403343650741,0.19876214799037684,0.04216351240362026,0.28370601951546526,0.16375699201961624,0.17864580125883053,978f49d7
SLSTM16,6,r2,prediction,-0.08648023625442636,-0.0671616179004264,-0.09491419628994113,-0.13992577636932957,-0.06781758627956447,-0.09125988261873759,978f49d7
CNNRNN16,6,r2,prediction,0.07653955602157658,-0.13632726960939623,0.3771381020861101,0.3542606263431888,0.46135907389128605,0.22659401774655308,978f49d7
CNNLSTM16,6,r2,prediction,-0.004431119874834133,0.04619892573028461,0.050610785389028634,-0.1218672854149061,-0.10549614193040813,-0.026996967220167024,978f49d7
MLP16,6,r2,prediction,-0.13740262914658752,-0.19664316534632142,-0.052293829169000716,-0.19177491989137652,-0.16779276258917242,-0.1491814612284917,978f49d7
RNN16,7,r2,prediction,-0.8244309547787312,-0.3077824728556495,-0.07815053540992323,-1.5490795704011586,-0.4678496044804976,-0.645458627585192,978f49d7
LSTM16,7,r2,prediction,-0.21795149305241623,-0.1615513789159777,-0.08849468799042426,-0.18669886980554473,-0.24951408038523204,-0.180842102029919,978f49d7
GRU16,7,r2,prediction,0.09118891405371699,0.06991344971136026,-0.19460021237284808,-0.15120835584618963,-0.17732851077085265,-0.07240694304496262,978f49d7
SRNN16,7,r2,prediction,-0.027067695722115648,-0.6656468459354465,-0.8512275773845328,-0.6090905451087221,-0.3545253451975825,-0.5015116018696799,978f49d7
SLSTM16,7,r2,prediction,-0.11369828082501265,-0.1274872991791156,-0.17186535727836993,-0.2093542307496028,-0.19222896383754606,-0.1629268263739294,978f49d7
CNNRNN16,7,r2,prediction,-1.6450416509461574,-0.8895965382157607,-0.8156626013384602,-0.7813054919698663,-1.2679952954009277,-1.0799203155742345,978f49d7
CNNLSTM16,7,r2,prediction,0.028975724920906054,-0.09553404423900336,-0.4284006462814116,-0.07375220748852573,-0.0946810833412719,-0.1326784512858613,978f49d7
MLP16,7,r2,prediction,-0.8998417599499546,0.001447677519849977,-0.4221235148845386,-0.7692331077981343,-0.5684971852175258,-0.5316495780660606,978f49d7
RNN16,8,r2,prediction,-0.3646992397251141,0.05255707265730891,-0.21879587956383628,-0.07818284915643825,-0.25745433463495204,-0.17331504608460635,978f49d7
LSTM16,8,r2,prediction,0.053693397958024525,-0.19261908415557394,-1.4411356444645818,-0.037766203348919,0.09570020962401682,-0.3044254648774067,978f49d7
GRU16,8,r2,prediction,-0.5833721181850855,0.6307744349721052,-3.706174614203614,-0.007046301782434483,0.26282313947897473,-0.6805990919440108,978f49d7
SRNN16,8,r2,prediction,0.04624424795987725,-0.14734293034733548,-15.898853652287453,-2.156452614839808,0.4017418450639112,-3.550932620890162,978f49d7
SLSTM16,8,r2,prediction,0.05023481935505547,-0.030528545034657073,-1.3899162091941384,-0.2298159913896971,-0.045814844871655325,-0.3291681542270185,978f49d7
CNNRNN16,8,r2,prediction,-4.0389481577950415,-1.808065744045786,-10.328301610991273,-0.12320434421905602,-0.602709984812164,-3.380245968372664,978f49d7
CNNLSTM16,8,r2,prediction,0.21749405519052412,-0.2724902479640545,-1.5661470018663843,-0.4465338386690689,-0.48323197169268783,-0.5101818010003344,978f49d7
MLP16,8,r2,prediction,-0.07639028335934794,-2.098693042162333,-4.749300449853702,-0.10876757024649475,-0.1612082931623413,-1.4388719277568438,978f49d7
RNN16,9,r2,prediction,-0.5937219180193047,-0.6442668929266608,-0.09586558636928344,-0.013971798080488762,-0.06092212069763914,-0.2817496632186754,978f49d7
LSTM16,9,r2,prediction,0.032193747479659085,-0.17773180890385198,-0.3211486588361909,-0.23401177416472962,-0.16294795293969333,-0.17272928947296134,978f49d7
GRU16,9,r2,prediction,-0.052647282801067785,-0.17882600705265816,-0.013435863843917595,-0.35698286735812834,-0.5866332145842701,-0.23770504712800838,978f49d7
SRNN16,9,r2,prediction,-0.3957172514958365,-1.1382990264728559,-0.48322381456902197,-0.629366980246558,0.028542528686451907,-0.5236129088195641,978f49d7
SLSTM16,9,r2,prediction,-0.11997658411510792,-0.182780636658735,-0.22701748022759705,-0.15429194807866575,-0.1256270234146224,-0.16193873449894564,978f49d7
CNNRNN16,9,r2,prediction,-0.9152757251667487,-0.961771084579591,-0.09211585393058908,-0.3145983453540242,-0.404623273039582,-0.537676856414107,978f49d7
CNNLSTM16,9,r2,prediction,-0.06343023305163764,-0.30122750525188313,-0.15944765674351058,-0.31017604159710443,-0.112490813399301,-0.18935445000868736,978f49d7
MLP16,9,r2,prediction,-0.12712949431462994,-0.1229514078046452,-0.5234382734468237,-0.07906623888611342,-0.11419230411777104,-0.19335554371399666,978f49d7
RNN16,10,r2,prediction,-0.31900551387279297,-0.3603464904872715,-0.3277553749931894,-0.005521606991743422,-0.3276864411341951,-0.26806308549583846,978f49d7
LSTM16,10,r2,prediction,0.05367103984333399,0.12433280119167522,0.06267086829465074,-0.5754822469164986,-0.2782028490837769,-0.12260207733412312,978f49d7
GRU16,10,r2,prediction,0.12742940755624965,-0.16035096640952617,-0.11203833975657651,-0.6954515090693405,-0.3592616879432906,-0.23993461912449682,978f49d7
SRNN16,10,r2,prediction,-0.42786522852803666,-0.8558731302274589,-0.025044544264014146,-0.5213099125216627,-0.4012526060905335,-0.44626908432634116,978f49d7
SLSTM16,10,r2,prediction,-0.11439446450835478,-0.10208358519760674,-0.04421957353353201,-0.5806471234260506,-0.4483897893354081,-0.2579469072001904,978f49d7
CNNRNN16,10,r2,prediction,-0.7788090057531252,-1.7282927952540392,0.09445689942397228,-0.21082896627355474,0.1687964884240163,-0.49093547588654607,978f49d7
