model,season,metric,stage,HWN,HWF,Average,id_data
Linear,1,r2,prediction,-1.6429458091396971,-0.4518255792682513,-1.047385694203974,6e47cb06
RF10,1,r2,prediction,0.13418874172185424,0.10616844476558829,0.12017859324372127,6e47cb06
SVR-rbf,1,r2,prediction,0.25012127650498306,-0.06964058660192274,0.09024034495153016,6e47cb06
SVR-linear,1,r2,prediction,-0.25950657548327305,-0.3963481094288577,-0.32792734245606536,6e47cb06
XGB10,1,r2,prediction,-0.4869645555756794,-0.4083856600961455,-0.44767510783591247,6e47cb06
RNN16,1,r2,prediction,-0.16070203057391552,-0.2563000120306853,-0.20850102130230042,6e47cb06
LSTM16,1,r2,prediction,0.1552977526278052,-0.07496799280659716,0.04016487991060402,6e47cb06
CNNRNN16,1,r2,prediction,-0.12416554601804441,-0.218584971496391,-0.1713752587572177,6e47cb06
CNNLSTM16,1,r2,prediction,-0.009803468366158974,-0.35989291370350096,-0.18484819103482997,6e47cb06
MLP16,1,r2,prediction,-0.2287741508821335,-0.2268049708105564,-0.22778956084634494,6e47cb06
Linear,2,r2,prediction,0.23601392754486472,0.36377428417219426,0.2998941058585295,6e47cb06
RF10,2,r2,prediction,-0.286111111111111,-0.20871138052405147,-0.24741124581758123,6e47cb06
SVR-rbf,2,r2,prediction,0.2068823760355324,0.007006218778730644,0.10694429740713152,6e47cb06
SVR-linear,2,r2,prediction,-0.10461792931449043,-0.17657706355456027,-0.14059749643452535,6e47cb06
XGB10,2,r2,prediction,0.18560239950397583,0.010989222032584789,0.09829581076828031,6e47cb06
RNN16,2,r2,prediction,0.7322616593575466,0.46635305394916116,0.5993073566533539,6e47cb06
LSTM16,2,r2,prediction,0.10845034756233918,-0.014242548885397222,0.04710389933847098,6e47cb06
CNNRNN16,2,r2,prediction,-0.1442746035506448,-0.10607176445103694,-0.12517318400084088,6e47cb06
CNNLSTM16,2,r2,prediction,-0.04644073763876766,0.31359844338705833,0.13357885287414534,6e47cb06
MLP16,2,r2,prediction,-0.4041704219367954,0.10072186001132988,-0.15172428096273277,6e47cb06
Linear,3,r2,prediction,-4.368415321847242,-10.70930970740162,-7.53886251462443,6e47cb06
RF10,3,r2,prediction,-5.174999999999999,-2.9948425196850383,-4.084921259842519,6e47cb06
SVR-rbf,3,r2,prediction,-0.2676887953608853,-0.09390025047871586,-0.18079452291980058,6e47cb06
SVR-linear,3,r2,prediction,-0.6554214228263746,-0.4911339344698884,-0.5732776786481315,6e47cb06
XGB10,3,r2,prediction,-3.379962316081297,-2.213619108138605,-2.796790712109951,6e47cb06
RNN16,3,r2,prediction,0.06413396136348226,-0.6966331444641927,-0.3162495915503552,6e47cb06
LSTM16,3,r2,prediction,-0.2500317312482643,-0.29685611313188454,-0.2734439221900744,6e47cb06
CNNRNN16,3,r2,prediction,0.05345745525172074,0.07021662989223032,0.06183704257197553,6e47cb06
CNNLSTM16,3,r2,prediction,0.10400355036019715,-0.6841363856359661,-0.2900664176378845,6e47cb06
MLP16,3,r2,prediction,0.24146116334275325,0.2719364894037293,0.25669882637324126,6e47cb06
Linear,4,r2,prediction,-4.536393280106961,-10.08675149324069,-7.311572386673825,6e47cb06
RF10,4,r2,prediction,-1.381250000000001,-2.8636718749999988,-2.1224609374999996,6e47cb06
SVR-rbf,4,r2,prediction,-0.8874188281770528,-1.312554602162006,-1.0999867151695293,6e47cb06
SVR-linear,4,r2,prediction,-11.710782008659551,-14.807021558495661,-13.258901783577606,6e47cb06
XGB10,4,r2,prediction,-0.9925910388920569,-0.7134870783855845,-0.8530390586388207,6e47cb06
RNN16,4,r2,prediction,-0.22042617972798362,-1.5150885759265975,-0.8677573778272906,6e47cb06
LSTM16,4,r2,prediction,-1.4577835051912227,-1.782448730970827,-1.6201161180810248,6e47cb06
CNNRNN16,4,r2,prediction,-1.473504056501905,-1.4594535833945534,-1.4664788199482293,6e47cb06
CNNLSTM16,4,r2,prediction,-1.1650980872787087,-3.0770694532957465,-2.1210837702872274,6e47cb06
MLP16,4,r2,prediction,-1.4010317534931929,-5.206605727763072,-3.3038187406281323,6e47cb06
Linear,5,r2,prediction,-1.3587783642139648,-2.022573093401648,-1.6906757288078065,6e47cb06
RF10,5,r2,prediction,-0.011201298701298379,-0.06991847062130985,-0.04055988466130411,6e47cb06
SVR-rbf,5,r2,prediction,-0.3333889876057441,-0.4415103910384124,-0.38744968932207824,6e47cb06
SVR-linear,5,r2,prediction,-1.139102452970878,-1.1027044936747155,-1.1209034733227967,6e47cb06
XGB10,5,r2,prediction,-0.11955635871852843,-0.20471335840751448,-0.16213485856302146,6e47cb06
RNN16,5,r2,prediction,0.033886167568694336,-0.3390578331479419,-0.1525858327896238,6e47cb06
LSTM16,5,r2,prediction,0.055102275949905244,-0.04132562613577351,0.006888324907065868,6e47cb06
CNNRNN16,5,r2,prediction,-0.09967875301394713,-0.07695750981407579,-0.08831813141401146,6e47cb06
CNNLSTM16,5,r2,prediction,-0.5182908317739332,-0.45592301422303616,-0.4871069229984847,6e47cb06
MLP16,5,r2,prediction,-0.10309478876972822,0.12878929358525015,0.012847252407760967,6e47cb06
Linear,6,r2,prediction,-1.504452239204487,-2.321547455211975,-1.912999847208231,6e47cb06
RF10,6,r2,prediction,-0.9389705882352943,-1.0781340057636877,-1.0085522969994911,6e47cb06
SVR-rbf,6,r2,prediction,-0.37451677580004916,-0.10058976429425348,-0.23755327004715132,6e47cb06
SVR-linear,6,r2,prediction,-2.168289740841286,-2.0925653510753466,-2.130427545958316,6e47cb06
XGB10,6,r2,prediction,-0.010644401886522159,-0.7385359933432725,-0.3745901976148973,6e47cb06
RNN16,6,r2,prediction,-0.6180492895266354,-0.7627084526347967,-0.690378871080716,6e47cb06
LSTM16,6,r2,prediction,-0.24781352661298217,-0.14581134293817466,-0.19681243477557842,6e47cb06
CNNRNN16,6,r2,prediction,-0.21395713932461247,-0.061188242010355554,-0.137572690667484,6e47cb06
CNNLSTM16,6,r2,prediction,-1.031541834823729,-0.5613151373770522,-0.7964284861003906,6e47cb06
MLP16,6,r2,prediction,-0.26792497468612564,-0.38959339548222904,-0.32875918508417734,6e47cb06
Linear,7,r2,prediction,0.2658604807978152,0.1717118182427837,0.21878614952029946,6e47cb06
RF10,7,r2,prediction,-0.7632530120481928,-0.4267349636483806,-0.5949939878482867,6e47cb06
SVR-rbf,7,r2,prediction,-0.4614451946562246,-0.3116863907623093,-0.38656579270926694,6e47cb06
SVR-linear,7,r2,prediction,0.58694065454051,0.01379141449605914,0.3003660345182846,6e47cb06
XGB10,7,r2,prediction,-0.34746392849482555,-0.5456083828094742,-0.4465361556521499,6e47cb06
RNN16,7,r2,prediction,0.4192051438476272,0.07609459819491193,0.24764987102126956,6e47cb06
LSTM16,7,r2,prediction,0.341402642395885,0.5971090892600124,0.4692558658279487,6e47cb06
CNNRNN16,7,r2,prediction,0.07289229617379545,0.02370225635364387,0.04829727626371966,6e47cb06
CNNLSTM16,7,r2,prediction,0.004017692878848789,-0.17387129609884,-0.0849268016099956,6e47cb06
MLP16,7,r2,prediction,0.20266598931311663,0.268133965168886,0.2353999772410013,6e47cb06
Linear,8,r2,prediction,-0.23644925418032625,-0.5581713089306353,-0.39731028155548076,6e47cb06
RF10,8,r2,prediction,-0.8642857142857145,-0.10163831127914302,-0.4829620127824288,6e47cb06
SVR-rbf,8,r2,prediction,-0.9000859895734885,-1.0234479593008987,-0.9617669744371936,6e47cb06
SVR-linear,8,r2,prediction,-0.10424741734372178,-0.7383988085706683,-0.42132311295719505,6e47cb06
XGB10,8,r2,prediction,-1.0626779612139803,-0.9836844494232448,-1.0231812053186125,6e47cb06
RNN16,8,r2,prediction,-0.1682822674595732,-0.656020506630189,-0.4121513870448811,6e47cb06
LSTM16,8,r2,prediction,-1.0320518160449819,-1.623409246771769,-1.3277305314083754,6e47cb06
CNNRNN16,8,r2,prediction,-0.3225133982431103,-0.5711255961691284,-0.44681949720611935,6e47cb06
CNNLSTM16,8,r2,prediction,-0.31017395954880644,-0.16577421673866066,-0.23797408814373355,6e47cb06
MLP16,8,r2,prediction,0.15662269836371223,0.06265803545492132,0.10964036690931678,6e47cb06
Linear,9,r2,prediction,-1.7523210266333833,-1.0765968673843647,-1.414458947008874,6e47cb06
RF10,9,r2,prediction,-0.34160879629629637,-0.3787946529377231,-0.3602017246170097,6e47cb06
SVR-rbf,9,r2,prediction,-0.42127525664969223,-0.34499124509634593,-0.3831332508730191,6e47cb06
SVR-linear,9,r2,prediction,-2.241430183162716,-1.6124730676481724,-1.9269516254054442,6e47cb06
XGB10,9,r2,prediction,-0.22959548203456426,0.008436825574431706,-0.11057932823006628,6e47cb06
RNN16,9,r2,prediction,0.43834649782967283,0.21404791604683293,0.3261972069382529,6e47cb06
LSTM16,9,r2,prediction,-0.6267208510902647,-0.4943824774553227,-0.5605516642727937,6e47cb06
CNNRNN16,9,r2,prediction,-0.2178346763559984,-0.08246905946620586,-0.15015186791110213,6e47cb06
CNNLSTM16,9,r2,prediction,-0.12671289566215282,0.09048225409716792,-0.01811532078249245,6e47cb06
