model,season,metric,stage,HWD,HWM,HWA,Average,id_data
Linear,1,r2,prediction,-0.35602934928079444,-0.5747328086709378,-0.5552942331346706,-0.49535213036213427,6e47cb06
RF10,1,r2,prediction,-0.1075176659903454,-0.2952012782890563,-0.3602341942129863,-0.254317712830796,6e47cb06
SVR-rbf,1,r2,prediction,-0.18935702446506975,-0.3067451969604269,-0.20199718110809672,-0.23269980084453112,6e47cb06
SVR-linear,1,r2,prediction,-0.5964705792209197,-0.7930649640928857,-0.648662326243556,-0.6793992898524538,6e47cb06
XGB10,1,r2,prediction,-0.011741995327100518,-0.3442602906603587,-0.28248800894479476,-0.2128300983107513,6e47cb06
RNN16,1,r2,prediction,0.0231350529885489,0.043189721232583245,-0.3368125103995543,-0.09016257872614071,6e47cb06
LSTM16,1,r2,prediction,-0.10150846775324629,-0.181056822367327,0.009285259936526735,-0.09109334339468218,6e47cb06
CNNRNN16,1,r2,prediction,-0.3726877846522674,-0.38457887984129147,-0.2936946562708598,-0.3503204402548062,6e47cb06
CNNLSTM16,1,r2,prediction,-0.04900842756757129,-0.9161274996396003,-0.5095879758116266,-0.4915746343395994,6e47cb06
MLP16,1,r2,prediction,-0.273675942874535,-0.41968451037811705,-0.46473944227418795,-0.3860332985089467,6e47cb06
Linear,2,r2,prediction,0.3102795648619432,0.12808901901177383,0.13670015752929643,0.19168958046767115,6e47cb06
RF10,2,r2,prediction,0.32609724179585253,-0.21397720334691805,-0.4626798982310887,-0.1168532865940514,6e47cb06
SVR-rbf,2,r2,prediction,0.12094161132951975,0.1794668083290466,0.2658943051559213,0.18876757493816254,6e47cb06
SVR-linear,2,r2,prediction,0.09548295235027404,-0.20232500463835668,-0.18316309875204606,-0.0966683836800429,6e47cb06
XGB10,2,r2,prediction,0.2217212772755296,0.16316382383865957,0.013861847539157979,0.1329156495511157,6e47cb06
RNN16,2,r2,prediction,0.8346373264853747,0.7586074604109871,0.6200021619749,0.7377489829570872,6e47cb06
LSTM16,2,r2,prediction,0.5971257133617215,0.1596399307902796,0.2633577858522731,0.3400411433347581,6e47cb06
CNNRNN16,2,r2,prediction,0.3546479860789453,0.27460910063644717,0.263919220205428,0.2977254356402735,6e47cb06
CNNLSTM16,2,r2,prediction,0.5713860066507612,0.4333400344767623,0.27498122153019455,0.42656908755257267,6e47cb06
MLP16,2,r2,prediction,0.4240855842816831,0.3048139301383336,0.26446179369804035,0.3311204360393523,6e47cb06
Linear,3,r2,prediction,-6.220936559690201,-2.9992530422290518,-3.6284120107046043,-4.282867204207952,6e47cb06
RF10,3,r2,prediction,-0.8617177097203725,-0.19755462972159732,-0.5073432258381745,-0.5222051884267148,6e47cb06
