model,season,metric,stage,HWN,HWF,Average,id_data
Linear,1,r2,prediction,-0.7319628867555801,-0.3242023690875555,-0.5280826279215678,978f49d7
RF10,1,r2,prediction,0.2514150943396225,-1.109285237140949,-0.4289350714006632,978f49d7
SVR-rbf,1,r2,prediction,-0.486823248506397,-0.8256591622543583,-0.6562412053803777,978f49d7
SVR-linear,1,r2,prediction,-2.3102743200218594,-1.0936954348069219,-1.7019848774143906,978f49d7
XGB10,1,r2,prediction,-0.49007339281029916,-0.9586066078299589,-0.724340000320129,978f49d7
RNN16,1,r2,prediction,-0.1748538408690301,0.025421378994226362,-0.07471623093740187,978f49d7
LSTM16,1,r2,prediction,-0.049199586405304974,-0.16762170547155075,-0.10841064593842786,978f49d7
CNNRNN16,1,r2,prediction,-0.18851603076409762,-0.43729015212650846,-0.31290309144530304,978f49d7
CNNLSTM16,1,r2,prediction,-0.96147374228133,-1.5859157473211094,-1.2736947448012197,978f49d7
MLP16,1,r2,prediction,0.1601230955021069,-0.7536489019317716,-0.29676290321483234,978f49d7
Linear,2,r2,prediction,-1.3673683748485232,-1.601227933507837,-1.4842981541781801,978f49d7
RF10,2,r2,prediction,-3.7480088495575217,-3.15568338702255,-3.4518461182900357,978f49d7
SVR-rbf,2,r2,prediction,-4.360817234132244,-4.337363570863044,-4.3490904024976444,978f49d7
SVR-linear,2,r2,prediction,-2.6101570877254456,-2.651443201786999,-2.6308001447562224,978f49d7
XGB10,2,r2,prediction,-3.1609202368608846,-3.2152670956608667,-3.1880936662608756,978f49d7
RNN16,2,r2,prediction,-2.2418908212862285,-2.4899564533122027,-2.3659236372992156,978f49d7
LSTM16,2,r2,prediction,-2.571504791035788,-2.104124426509744,-2.3378146087727663,978f49d7
CNNRNN16,2,r2,prediction,-2.9649875630842666,-2.7157658737645107,-2.8403767184243884,978f49d7
CNNLSTM16,2,r2,prediction,-2.8916434447855135,-5.707652351230341,-4.299647898007928,978f49d7
MLP16,2,r2,prediction,-2.2253041272605025,-3.6648610638550947,-2.945082595557799,978f49d7
Linear,3,r2,prediction,-1.301000375496392,-1.5170030655180304,-1.4090017205072112,978f49d7
RF10,3,r2,prediction,-0.05294811320754733,-0.27650625478682644,-0.1647271839971869,978f49d7
SVR-rbf,3,r2,prediction,-0.30749091598027034,-0.35143913827428763,-0.329465027127279,978f49d7
SVR-linear,3,r2,prediction,-0.9301587526631983,-0.9088776861013237,-0.919518219382261,978f49d7
XGB10,3,r2,prediction,-0.36460787017011476,-0.4057843690420435,-0.38519611960607913,978f49d7
RNN16,3,r2,prediction,-0.32610978187714723,0.2341721062833706,-0.04596883779688832,978f49d7
LSTM16,3,r2,prediction,-0.21158638757165926,-0.06112895539509533,-0.1363576714833773,978f49d7
CNNRNN16,3,r2,prediction,-0.1956444503994732,-0.21423640688738987,-0.20494042864343154,978f49d7
CNNLSTM16,3,r2,prediction,-0.14537622909464454,-0.3125908168984055,-0.22898352299652502,978f49d7
MLP16,3,r2,prediction,-0.027318436613378072,-1.0276626433130862,-0.5274905399632321,978f49d7
Linear,4,r2,prediction,-5.2164301948109655,-3.620327616641638,-4.418378905726302,978f49d7
RF10,4,r2,prediction,-1.9384615384615382,-1.0775000000000006,-1.5079807692307694,978f49d7
SVR-rbf,4,r2,prediction,-0.9710985554037896,-0.7437855548904511,-0.8574420551471204,978f49d7
SVR-linear,4,r2,prediction,-2.9065205533738605,-1.6799116888648653,-2.2932161211193627,978f49d7
XGB10,4,r2,prediction,-0.03676436083965284,0.2952609955124177,0.12924831733638242,978f49d7
RNN16,4,r2,prediction,-0.2639734996437617,-0.028611033450721912,-0.1462922665472418,978f49d7
LSTM16,4,r2,prediction,0.6181445162827879,0.16696516162973107,0.3925548389562595,978f49d7
CNNRNN16,4,r2,prediction,0.026140299279951873,-0.03320145919938944,-0.0035305799597187826,978f49d7
CNNLSTM16,4,r2,prediction,-0.12515638401089846,-1.233369410979769,-0.6792628974953338,978f49d7
MLP16,4,r2,prediction,0.23319880029409867,0.3812090826705815,0.3072039414823401,978f49d7
Linear,5,r2,prediction,-0.06428063816254359,-0.018788222002972255,-0.04153443008275792,978f49d7
RF10,5,r2,prediction,-0.27435622317596575,-0.4438150074294205,-0.3590856153026931,978f49d7
SVR-rbf,5,r2,prediction,-0.2647494432466735,-0.29529092529311796,-0.2800201842698957,978f49d7
SVR-linear,5,r2,prediction,-0.3206335893260359,-0.29519236495806633,-0.3079129771420511,978f49d7
XGB10,5,r2,prediction,-0.32938660705602696,-0.29609734773607066,-0.3127419773960488,978f49d7
RNN16,5,r2,prediction,-0.22951709620987315,-0.24050039565939318,-0.23500874593463317,978f49d7
LSTM16,5,r2,prediction,-0.31266018316806554,-0.26565064866242327,-0.2891554159152444,978f49d7
CNNRNN16,5,r2,prediction,-0.29811250571581693,-0.30124804993314047,-0.2996802778244787,978f49d7
CNNLSTM16,5,r2,prediction,-0.14636684868721894,-0.18701308719970222,-0.16668996794346058,978f49d7
MLP16,5,r2,prediction,-0.22528769883875577,-0.3551337377672523,-0.29021071830300404,978f49d7
Linear,6,r2,prediction,0.2525052855399911,0.2750069420584307,0.2637561137992109,978f49d7
RF10,6,r2,prediction,-0.6203125,-0.47022569444444473,-0.5452690972222224,978f49d7
SVR-rbf,6,r2,prediction,-0.08403031455269105,-0.08965375194635428,-0.08684203324952267,978f49d7
SVR-linear,6,r2,prediction,0.22081780461744938,0.21565432598610224,0.2182360653017758,978f49d7
XGB10,6,r2,prediction,0.28893603619750263,0.23845149967407941,0.263693767935791,978f49d7
RNN16,6,r2,prediction,0.16862426638830474,-0.10209680645189212,0.03326372996820631,978f49d7
LSTM16,6,r2,prediction,-0.13256103545410913,-0.07123589205878944,-0.10189846375644929,978f49d7
CNNRNN16,6,r2,prediction,-0.04602799733708918,-0.10170584944845595,-0.07386692339277257,978f49d7
CNNLSTM16,6,r2,prediction,-0.5478328153989227,-0.4675364844613332,-0.507684649930128,978f49d7
MLP16,6,r2,prediction,0.20011377111208528,0.011426503247794928,0.1057701371799401,978f49d7
Linear,7,r2,prediction,-0.7513412777587234,-0.2692887769619383,-0.5103150273603309,978f49d7
RF10,7,r2,prediction,0.1448113207547168,0.30927529626253414,0.22704330850862547,978f49d7
SVR-rbf,7,r2,prediction,-0.6249417224488121,-0.3740076796293663,-0.4994747010390892,978f49d7
SVR-linear,7,r2,prediction,-1.0812382619371825,-0.7006387489119181,-0.8909385054245503,978f49d7
XGB10,7,r2,prediction,0.20840661928295878,0.10058599862774398,0.15449630895535138,978f49d7
RNN16,7,r2,prediction,0.1379829722179704,0.13077028548559733,0.13437662885178386,978f49d7
LSTM16,7,r2,prediction,-0.9557660696199837,-0.6800373306381824,-0.817901700129083,978f49d7
CNNRNN16,7,r2,prediction,-0.6154439601343149,-0.5269746461387177,-0.5712093031365163,978f49d7
CNNLSTM16,7,r2,prediction,0.26772618570193374,0.13291329107401717,0.20031973838797545,978f49d7
MLP16,7,r2,prediction,-0.4084299731769765,-0.41238636719996546,-0.410408170188471,978f49d7
Linear,8,r2,prediction,-3.1272642506545347,-5.212968821835334,-4.170116536244935,978f49d7
RF10,8,r2,prediction,-1.498333333333334,-2.0898843930635835,-1.7941088631984587,978f49d7
SVR-rbf,8,r2,prediction,-0.8968313718619878,-0.6458810927393348,-0.7713562323006613,978f49d7
SVR-linear,8,r2,prediction,-2.9634794691089796,-2.693866824496215,-2.8286731468025974,978f49d7
XGB10,8,r2,prediction,0.1470651767899126,-3.4836622410623006,-1.668298532136194,978f49d7
RNN16,8,r2,prediction,-1.3235177084515022,-0.5733458729712242,-0.9484317907113632,978f49d7
LSTM16,8,r2,prediction,0.2904112050706974,0.2685772891736653,0.27949424712218135,978f49d7
CNNRNN16,8,r2,prediction,-0.4870410106650851,0.04384233711118768,-0.2215993367769487,978f49d7
CNNLSTM16,8,r2,prediction,-0.712606676933043,-2.911793716300563,-1.812200196616803,978f49d7
MLP16,8,r2,prediction,0.36552213167402636,-0.7684128565967394,-0.20144536246135653,978f49d7
Linear,9,r2,prediction,-2.8040018519027585,-2.781972925016486,-2.7929873884596224,978f49d7
RF10,9,r2,prediction,0.012735849056603743,-0.6140997352162401,-0.30068194307981816,978f49d7
SVR-rbf,9,r2,prediction,-0.5481654768058313,-0.7137315367612802,-0.6309485067835557,978f49d7
