model,season,metric,stage,HWD,HWM,HWA,Average,id_data
Linear,1,r2,prediction,-0.3911060807510507,-1.284671515805118,-0.6735773549959885,-0.7831183171840523,978f49d7
RF10,1,r2,prediction,-0.6770961538461537,-0.22026837467595106,-0.29996152748177574,-0.39910868533462684,978f49d7
SVR-rbf,1,r2,prediction,-0.6072781571558847,-0.10840621080692703,-0.3535518180983048,-0.3564120620203722,978f49d7
SVR-linear,1,r2,prediction,-0.7429425460606183,-0.8925345929394182,-1.0846393924878956,-0.9067055104959773,978f49d7
XGB10,1,r2,prediction,-0.6319744829419283,0.6254034799829266,0.14657533460780714,0.046668110549601814,978f49d7
RNN16,1,r2,prediction,-0.6673561128255281,-0.5788408562019267,-0.23268910277811305,-0.4929620239351893,978f49d7
LSTM16,1,r2,prediction,-0.40865210093150184,-0.013158981983955487,-0.23439660615903835,-0.21873589635816523,978f49d7
CNNRNN16,1,r2,prediction,-0.3346098703579341,-0.057003379947486055,-0.097660117076946,-0.16309112246078872,978f49d7
CNNLSTM16,1,r2,prediction,-1.4131413044278278,0.04393849940869743,-0.8999441153716692,-0.7563823067969332,978f49d7
MLP16,1,r2,prediction,-0.9042575291201378,-1.5303505020346422,-0.20682972799233856,-0.8804792530490394,978f49d7
Linear,2,r2,prediction,-7.447177062412374,0.07418377313245805,0.035988029767380914,-2.4456684198375114,978f49d7
RF10,2,r2,prediction,-4.862892376681613,-0.7145488534714621,-1.1658628427622522,-2.2477680243051092,978f49d7
SVR-rbf,2,r2,prediction,-12.783108042564713,-1.3833118724014084,-2.049208936056211,-5.405209617007444,978f49d7
SVR-linear,2,r2,prediction,-6.099341861633577,-0.3807943508369531,-0.5038532804031599,-2.327996497624563,978f49d7
XGB10,2,r2,prediction,-6.782810321032584,-1.869829592441988,-2.500394927113595,-3.717678280196056,978f49d7
RNN16,2,r2,prediction,-9.366069853876878,-0.9024178434149286,-2.02434013151329,-4.097609276268366,978f49d7
LSTM16,2,r2,prediction,-7.498636041197095,-1.1836887327175485,-2.029965037406708,-3.5707632704404504,978f49d7
CNNRNN16,2,r2,prediction,-6.359758302634292,-1.2970609995297298,-1.7480127567147568,-3.1349440196262592,978f49d7
CNNLSTM16,2,r2,prediction,-6.267948196544451,-0.34319394987953866,-0.4677860080507519,-2.359642718158247,978f49d7
MLP16,2,r2,prediction,-12.287484207674794,-1.7078473865098833,-1.927766951031784,-5.307699515072154,978f49d7
Linear,3,r2,prediction,-2.3551159247978126,-1.4099377701194018,-1.6043512146316368,-1.7898016365162839,978f49d7
RF10,3,r2,prediction,-0.5899413243922877,0.14149313402848485,-0.9112739479420562,-0.4532407127686197,978f49d7
SVR-rbf,3,r2,prediction,-0.6651628927274711,-0.2764993969019498,-0.3842273901249682,-0.44196322658479636,978f49d7
SVR-linear,3,r2,prediction,-1.5913748843538906,-0.9878206959184119,-1.358951674160211,-1.3127157514775045,978f49d7
XGB10,3,r2,prediction,-0.5275614972792029,-0.19937682702887294,-0.21731935322957185,-0.3147525591792159,978f49d7
