model,season,metric,stage,HWN,HWF,HWD,HWM,HWA,Average,id_data
Linear,1,r2,prediction,-0.3973616573241767,-0.028041748506688835,0.07831518349482458,-0.39848331317072017,-0.2739067417426875,-0.20389565544988972,355d8add
RF10,1,r2,prediction,-2.1718749999999996,-0.5548519736842104,-0.2531586021505381,-1.128649308264107,-0.7115169854725052,-0.964010373914272,355d8add
SVR-rbf,1,r2,prediction,-0.056211142462093244,-0.09643410824141685,-0.07997192994417057,-0.2880242902574457,-0.4504251581367036,-0.19421332580836598,355d8add
SVR-linear,1,r2,prediction,-0.029177446244087912,0.01690630157036077,-0.05635078296621865,-0.12470885076817395,-0.18178725342409496,-0.07502360636644294,355d8add
XGB10,1,r2,prediction,-0.32363726322983366,-0.37898595575677074,-0.06374761747539148,-0.3186520407272593,-0.4195588633402356,-0.3009163481058982,355d8add
RNN16,1,r2,prediction,-0.3090775673519168,-0.12395829551338333,-0.019955563603749837,-0.08111539148709368,-0.41680562127165177,-0.19018248784555908,355d8add
LSTM16,1,r2,prediction,0.06641363557258595,-0.18272085979182995,-0.007346806702295705,0.0395687596257267,-0.03876848755902795,-0.02457075177096819,355d8add
CNNRNN16,1,r2,prediction,-0.06913293685606581,-0.14345206803768495,-0.17482727223394767,-0.15404853558782405,-0.19102879622184332,-0.14649792178747317,355d8add
CNNLSTM16,1,r2,prediction,-0.26910187771244254,-0.23854196528277005,-0.22503462108323347,-0.1581645672433596,-0.3059832344201452,-0.23936525314839016,355d8add
MLP16,1,r2,prediction,-0.23895518095985468,-0.28597336191576694,-0.2614202824970566,0.04925022653478772,-0.09569024971844575,-0.16655776971126726,355d8add
Linear,2,r2,prediction,-1.259923941320209,-0.7370407225801485,0.0568349823312998,-0.10293680672926331,0.02719048957176795,-0.4031751997453107,355d8add
RF10,2,r2,prediction,-2.6749999999999994,-0.8079861111111111,-0.414930555555556,-0.06468472410173431,0.47669368044786375,-0.6971815420641073,355d8add
SVR-rbf,2,r2,prediction,-0.2059172008290835,0.17521765143079038,0.40677431255423024,0.04825734730298015,0.20501703584312736,0.12586982926040893,355d8add
SVR-linear,2,r2,prediction,-0.8751031525346977,-0.3307431786331094,0.1939093338104093,-0.7341200830453836,-0.050655000731328226,-0.35934241622682195,355d8add
XGB10,2,r2,prediction,-5.798323692469246,-1.5142761493863182,-1.051908332006707,-0.9912018832509268,-0.2409538256833137,-1.9193327765593022,355d8add
