model,season,metric,stage,HWN,HWF,HWD,HWM,HWA,Average,id_data
Linear,1,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
RF10,1,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
SVR-rbf,1,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
SVR-linear,1,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
XGB10,1,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
RNN16,1,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
LSTM16,1,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
CNNRNN16,1,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
CNNLSTM16,1,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
MLP16,1,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
Linear,2,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
RF10,2,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
SVR-rbf,2,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
SVR-linear,2,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
XGB10,2,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
RNN16,2,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
LSTM16,2,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
CNNRNN16,2,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
CNNLSTM16,2,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
MLP16,2,r2,prediction,0.0,0.0,0.0,0.0,0.0,0.0,41e7367e
Linear,3,r2,prediction,0.0514759133758903,-0.012466573748227239,-0.07125444397411318,0.020425232925849857,-0.11891917817749498,-0.02614780991961905,41e7367e
RF10,3,r2,prediction,0.16874999999999973,-0.02826797385620905,0.05902777777777768,0.3500271807599077,-0.03410587505552165,0.10308622192519087,41e7367e
SVR-rbf,3,r2,prediction,-0.267979091342452,-0.19463306707487282,-0.19397596712736598,-0.19603340942673664,-0.20741872312486231,-0.21200805161925795,41e7367e
SVR-linear,3,r2,prediction,-0.3285898786716619,-0.24754450078118784,-0.25629000336875096,-0.25949951190818465,-0.27781987371861305,-0.2739487536896797,41e7367e
XGB10,3,r2,prediction,0.3826278021566798,0.1542061561572451,0.3190113377258583,0.011980602532325357,0.2819426819518015,0.22995371610478205,41e7367e
