id,filename,method,rolling,variables,boxes,reference_period,target_period
2018c34d,index_2018c34d.parquet,max,1,SP,282|290|-34|-30,NoRef,1972-2022
005bed9b,index_005bed9b.parquet,max,1,SP,282|290|-38|-34,NoRef,1972-2022
c63fe4d6,index_c63fe4d6.parquet,max,1,SP,282|290|-43|-38,NoRef,1972-2022
a42174e9,index_a42174e9.parquet,max,1,SP,282|290|-56|-43,NoRef,1972-2022
ace3b16f,index_ace3b16f.parquet,max,1,SP,155|280|-55|10,NoRef,1972-2022
734d522e,index_734d522e.parquet,anom,1,U10,285|290|-37|-30,1972-2022,1972-2022
2f7bc22c,index_2f7bc22c.parquet,max,1,SP,282|290|-34|-30,NoRef,1972-2022
364220bd,index_364220bd.parquet,max,1,SP,282|290|-38|-34,NoRef,1972-2022
86b37b21,index_86b37b21.parquet,max,1,SP,282|290|-43|-38,NoRef,1972-2022
b82f8633,index_b82f8633.parquet,max,1,SP,282|290|-56|-43,NoRef,1972-2022
2dcf714c,index_2dcf714c.parquet,max,1,SP,155|280|-55|10,NoRef,1972-2022
5f67ceb1,index_5f67ceb1.parquet,anom,1,U10,285|290|-37|-30,1972-2022,1972-2022
1d969188,index_1d969188.parquet,max,1,SP,282|290|-34|-30,NoRef,1972-2022
cf11f898,index_cf11f898.parquet,max,1,SP,282|290|-38|-34,NoRef,1972-2022
3c67307b,index_3c67307b.parquet,max,1,SP,282|290|-43|-38,NoRef,1972-2022
f28f7258,index_f28f7258.parquet,max,1,SP,282|290|-56|-43,NoRef,1972-2022
bb40a7eb,index_bb40a7eb.parquet,max,1,SP,155|280|-55|10,NoRef,1972-2022
f0b7f5b3,index_f0b7f5b3.parquet,anom,1,U10,285|290|-37|-30,1972-2022,1972-2022
e871d224,index_e871d224.parquet,max,1,SP,282|290|-34|-30,NoRef,1972-2022
10782f50,index_10782f50.parquet,max,1,SP,282|290|-38|-34,NoRef,1972-2022
c1a5666e,index_c1a5666e.parquet,max,1,SP,282|290|-43|-38,NoRef,1972-2022
2c82e991,index_2c82e991.parquet,max,1,SP,282|290|-56|-43,NoRef,1972-2022
677473e8,index_677473e8.parquet,max,1,SP,155|280|-55|10,NoRef,1972-2022
5bf95525,index_5bf95525.parquet,anom,1,U10,285|290|-37|-30,1972-2022,1972-2022
df9a31c5,index_df9a31c5.parquet,max,1,SP,282|290|-34|-30,NoRef,1972-2022
20a07cea,index_20a07cea.parquet,max,1,SP,282|290|-38|-34,NoRef,1972-2022
cfb03125,index_cfb03125.parquet,max,1,SP,282|290|-43|-38,NoRef,1972-2022
9169e0dc,index_9169e0dc.parquet,max,1,SP,282|290|-56|-43,NoRef,1972-2022
0b0bffae,index_0b0bffae.parquet,max,1,SP,155|280|-55|10,NoRef,1972-2022
b328d4ae,index_b328d4ae.parquet,anom,1,U10,285|290|-37|-30,1972-2022,1972-2022
0f3cf65e,index_0f3cf65e.parquet,anom,1,SP,282|290|-34|-30,1980-2010,1972-2022
5ad9fddd,index_5ad9fddd.parquet,anom,1,SP,282|290|-38|-34,1980-2010,1972-2022
3398593a,index_3398593a.parquet,anom,1,SP,282|290|-43|-38,1980-2010,1972-2022
3501ccc8,index_3501ccc8.parquet,anom,1,SP,282|290|-56|-43,1980-2010,1972-2022
831f7655,index_831f7655.parquet,max,1,SP,220|280|-35|-10,NoRef,1972-2022
b3725eae,index_b3725eae.parquet,anom,1,U10,282|290|-37|-30,1980-2010,1972-2022
8334b687,index_8334b687.parquet,anom,1,SST,190|240|-5|5,1980-2010,1972-2022
f25567c1,index_f25567c1.parquet,anom,1,SST,270|280|-10|0,1980-2010,1972-2022
43701738,index_43701738.parquet,anom,1,SP,282|290|-34|-30,1980-2010,1972-2022
e306f58b,index_e306f58b.parquet,anom,1,SP,282|290|-38|-34,1980-2010,1972-2022
e601b072,index_e601b072.parquet,anom,1,SP,282|290|-43|-38,1980-2010,1972-2022
ecaf68aa,index_ecaf68aa.parquet,anom,1,SP,282|290|-56|-43,1980-2010,1972-2022
711b08fc,index_711b08fc.parquet,max,1,SP,220|280|-35|-10,NoRef,1972-2022
89595d7b,index_89595d7b.parquet,anom,1,U10,282|290|-37|-30,1980-2010,1972-2022
e19aa330,index_e19aa330.parquet,anom,1,SST,190|240|-5|5,1980-2010,1972-2022
19496680,index_19496680.parquet,anom,1,SST,270|280|-10|0,1980-2010,1972-2022
f27c56aa,index_f27c56aa.parquet,anom,1,SP,236|246|37.5|43,1980-2010,1972-2022
5b9237bf,index_5b9237bf.parquet,anom,1,SP,236|246|32|37.5,1980-2010,1972-2022
46fa0cb8,index_46fa0cb8.parquet,max,1,SP,190|235|15|43,NoRef,1972-2022
63520cd8,index_63520cd8.parquet,anom,1,U10,236|246|32|43,1980-2010,1972-2022
58cf0140,index_58cf0140.parquet,anom,1,SST,190|240|-5|5,1980-2010,1972-2022
2888bc44,index_2888bc44.parquet,anom,1,SST,270|280|-10|0,1980-2010,1972-2022
8b54b64b,index_8b54b64b.parquet,max,1,MSL,245|284|-45|-15,NoRef,1972-2022
b4c7101b,index_b4c7101b.parquet,anom,1,U,282|289|-34|-30,1980-2010,1972-2022
7d54b6de,index_7d54b6de.parquet,anom,1,U,289|290.5|-34|-30,1980-2010,1972-2022
429bfac6,index_429bfac6.parquet,anom,1,U,282|289|-38|-34,1980-2010,1972-2022
44df8061,index_44df8061.parquet,anom,1,U,282|288.5|-43|-38,1980-2010,1972-2022
3d666114,index_3d666114.parquet,anom,1,U,282|288.5|-53|-43,1980-2010,1972-2022
9187f258,index_9187f258.parquet,anom,1,MSL,282|290.5|-34|-30,1980-2010,1972-2022
dfbcff98,index_dfbcff98.parquet,anom,1,MSL,282|289|-38|-34,1980-2010,1972-2022
88ec99c8,index_88ec99c8.parquet,anom,1,MSL,282|288.5|-43|-38,1980-2010,1972-2022
1aa3a169,index_1aa3a169.parquet,anom,1,MSL,282|288.5|-53|-43,1980-2010,1972-2022
e5f11df1,index_e5f11df1.parquet,anom,1,MSL,282|292|-34|-30,1980-2010,1972-2022
47e0b690,index_47e0b690.parquet,anom,1,MSL,282|292|-38|-34,1980-2010,1972-2022
fd2cfe4d,index_fd2cfe4d.parquet,anom,1,MSL,282|292|-43|-38,1980-2010,1972-2022
2f46bf74,index_2f46bf74.parquet,max,1,MSL,282|292|-34|-30,NoRef,1972-2022
f0c8d0b7,index_f0c8d0b7.parquet,max,1,MSL,282|292|-38|-34,NoRef,1972-2022
48f41221,index_48f41221.parquet,max,1,MSL,282|292|-43|-38,NoRef,1972-2022
771c4e26,index_771c4e26.parquet,anom,1,ADV,282|288|-43|-26,1980-2010,1972-2022
5ed791f8,index_5ed791f8.parquet,anom,1,SST,190|240|-5|5,1980-2010,1972-2022
01ae1753,index_01ae1753.parquet,anom,1,SST,270|280|-10|0,1980-2010,1972-2022
069db05e,index_069db05e.parquet,max,1,MSL,245|284|-45|-15,NoRef,1972-2022
e14a6a80,index_e14a6a80.parquet,anom,1,U,282|289|-34|-30,1980-2010,1972-2022
392e241f,index_392e241f.parquet,anom,1,U,289|290.5|-34|-30,1980-2010,1972-2022
f78de92c,index_f78de92c.parquet,anom,1,U,282|289|-38|-34,1980-2010,1972-2022
96706559,index_96706559.parquet,anom,1,U,282|288.5|-43|-38,1980-2010,1972-2022
6ed54832,index_6ed54832.parquet,anom,1,U,282|288.5|-53|-43,1980-2010,1972-2022
9422bfaa,index_9422bfaa.parquet,anom,1,MSL,282|290.5|-34|-30,1980-2010,1972-2022
07580119,index_07580119.parquet,anom,1,MSL,282|289|-38|-34,1980-2010,1972-2022
09709127,index_09709127.parquet,anom,1,MSL,282|288.5|-43|-38,1980-2010,1972-2022
20d182d7,index_20d182d7.parquet,anom,1,MSL,282|288.5|-53|-43,1980-2010,1972-2022
d71faac1,index_d71faac1.parquet,max,1,MSL,282|292|-34|-30,NoRef,1972-2022
29585c65,index_29585c65.parquet,max,1,MSL,282|292|-38|-34,NoRef,1972-2022
d0dbbfa3,index_d0dbbfa3.parquet,max,1,MSL,282|292|-43|-38,NoRef,1972-2022
b4a1ef40,index_b4a1ef40.parquet,anom,1,ADV,282|288|-43|-26,1980-2010,1972-2022
b32f5d3c,index_b32f5d3c.parquet,anom,1,SST,190|240|-5|5,1980-2010,1972-2022
5a0aa1ca,index_5a0aa1ca.parquet,anom,1,SST,270|280|-10|0,1980-2010,1972-2022
10bc9c48,index_10bc9c48.parquet,max,1,MSL,245|284|-45|-15,NoRef,1972-2022
d333d1c0,index_d333d1c0.parquet,anom,1,U,282|289|-34|-30,1980-2010,1972-2022
fcbed47f,index_fcbed47f.parquet,anom,1,U,289|290.5|-34|-30,1980-2010,1972-2022
46e9db11,index_46e9db11.parquet,anom,1,U,282|289|-38|-34,1980-2010,1972-2022
977078c2,index_977078c2.parquet,anom,1,U,282|288.5|-43|-38,1980-2010,1972-2022
2ab3a296,index_2ab3a296.parquet,anom,1,U,282|288.5|-53|-43,1980-2010,1972-2022
13f09277,index_13f09277.parquet,anom,1,MSL,282|290.5|-34|-30,1980-2010,1972-2022
b7179a90,index_b7179a90.parquet,anom,1,MSL,282|289|-38|-34,1980-2010,1972-2022
7183127f,index_7183127f.parquet,anom,1,MSL,282|288.5|-43|-38,1980-2010,1972-2022
0dbe68de,index_0dbe68de.parquet,anom,1,MSL,282|288.5|-53|-43,1980-2010,1972-2022
12259af1,index_12259af1.parquet,max,1,MSL,282|292|-34|-30,NoRef,1972-2022
31779f97,index_31779f97.parquet,max,1,MSL,282|292|-38|-34,NoRef,1972-2022
07281ce2,index_07281ce2.parquet,max,1,MSL,282|292|-43|-38,NoRef,1972-2022
9aeba7e2,index_9aeba7e2.parquet,anom,1,ADV,282|288|-43|-26,1980-2010,1972-2022
8e83b00d,index_8e83b00d.parquet,anom,1,SST,190|240|-5|5,1980-2010,1972-2022
b4824fa4,index_b4824fa4.parquet,anom,1,SST,270|280|-10|0,1980-2010,1972-2022
b91ccd4e,index_b91ccd4e.parquet,max,1,MSL,245|284|-45|-15,NoRef,1972-2022
c6184040,index_c6184040.parquet,anom,1,U,282|289|-34|-30,1980-2010,1972-2022
c1c59e4d,index_c1c59e4d.parquet,anom,1,U,289|290.5|-34|-30,1980-2010,1972-2022
8c4a4c9c,index_8c4a4c9c.parquet,anom,1,U,282|289|-38|-34,1980-2010,1972-2022
cb76aaa7,index_cb76aaa7.parquet,anom,1,U,282|288.5|-43|-38,1980-2010,1972-2022
d416bd24,index_d416bd24.parquet,anom,1,U,282|288.5|-53|-43,1980-2010,1972-2022
b259d0dd,index_b259d0dd.parquet,anom,1,MSL,282|290.5|-34|-30,1980-2010,1972-2022
a15e4d0f,index_a15e4d0f.parquet,anom,1,MSL,282|289|-38|-34,1980-2010,1972-2022
1223f1f4,index_1223f1f4.parquet,anom,1,MSL,282|288.5|-43|-38,1980-2010,1972-2022
0d0d4c54,index_0d0d4c54.parquet,anom,1,MSL,282|288.5|-53|-43,1980-2010,1972-2022
051cd6f3,index_051cd6f3.parquet,max,1,MSL,282|292|-34|-30,NoRef,1972-2022
422ed1de,index_422ed1de.parquet,max,1,MSL,282|292|-38|-34,NoRef,1972-2022
39b84026,index_39b84026.parquet,max,1,MSL,282|292|-43|-38,NoRef,1972-2022
06fc643c,index_06fc643c.parquet,anom,1,ADV,282|288|-43|-26,1980-2010,1972-2022
df34e9e2,index_df34e9e2.parquet,anom,1,SST,190|240|-5|5,1980-2010,1972-2022
987ca737,index_987ca737.parquet,anom,1,SST,270|280|-10|0,1980-2010,1972-2022
034da05f,index_034da05f.parquet,max,1,MSL,260|284|-55|-25,NoRef,1972-2022
0daa2abe,index_0daa2abe.parquet,anom,1,U,287|289|-42|-33,1980-2010,1972-2022
b1f4c42c,index_b1f4c42c.parquet,anom,1,MSL,290|295|-42|-33,1980-2010,1972-2022
33f10288,index_33f10288.parquet,anom,1,MSL,286|288.5|-33|-28,1980-2010,1972-2022
8830f8b5,index_8830f8b5.parquet,anom,1,MSL,280|286|-38|-30,1980-2010,1972-2022
563bbd7d,index_563bbd7d.parquet,anom,1,MSL,291|295|-38|-30,1980-2010,1972-2022
a1bff473,index_a1bff473.parquet,anom,1,SST,190|240|-5|5,1980-2010,1972-2022
4e788494,index_4e788494.parquet,anom,1,SST,270|280|-10|0,1980-2010,1972-2022
13e2f761,index_13e2f761.parquet,max,1,MSL,260|284|-55|-25,NoRef,1972-2022
f5811892,index_f5811892.parquet,anom,1,U,287|289|-42|-33,1980-2010,1972-2022
2748fd3a,index_2748fd3a.parquet,anom,1,MSL,290|295|-42|-33,1980-2010,1972-2022
4df68b1e,index_4df68b1e.parquet,anom,1,MSL,286|288.5|-33|-28,1980-2010,1972-2022
bd5497a5,index_bd5497a5.parquet,anom,1,MSL,280|286|-38|-30,1980-2010,1972-2022
4df3cbb8,index_4df3cbb8.parquet,anom,1,MSL,291|295|-38|-30,1980-2010,1972-2022
31d72c7e,index_31d72c7e.parquet,anom,1,ADV,282|288|-42|-33,1980-2010,1972-2022
