id,filename,boxes,top_n,var_thresh,modes,frequency,season,methods,extra_indices,only_sea
0711afc4,predictor_0711afc4.parquet,0,5,,1,yearly,0,ps,,True
193414ce,predictor_193414ce.parquet,0,10,,1,yearly,0,ps,,True
4e69fe46,predictor_4e69fe46.parquet,0,15,,1,yearly,0,ps,,True
6af23f2d,predictor_6af23f2d.parquet,0,20,,1,yearly,0,ps,,True
3405d1e5,predictor_3405d1e5.parquet,0,30,,1,yearly,0,ps,,True
cba6f49e,predictor_cba6f49e.parquet,0,5,0.05,1,yearly,0,ps,,True
02b2043c,predictor_02b2043c.parquet,0,10,0.05,1,yearly,0,ps,,True
15fe2c3a,predictor_15fe2c3a.parquet,0,15,0.05,1,yearly,0,ps,,True
4d2a0401,predictor_4d2a0401.parquet,0,20,0.05,1,yearly,0,ps,,True
a1a9e010,predictor_a1a9e010.parquet,0,30,0.05,1,yearly,0,ps,,True
7c2f79ba,predictor_7c2f79ba.parquet,0,5,0.1,1,yearly,0,ps,,True
517d0966,predictor_517d0966.parquet,0,10,0.1,1,yearly,0,ps,,True
e05180b2,predictor_e05180b2.parquet,0,15,0.1,1,yearly,0,ps,,True
9f0c7f4a,predictor_9f0c7f4a.parquet,0,20,0.1,1,yearly,0,ps,,True
3edc023a,predictor_3edc023a.parquet,0,30,0.1,1,yearly,0,ps,,True
9c767796,predictor_9c767796.parquet,0,5,0.15,1,yearly,0,ps,,True
b6e21dbd,predictor_b6e21dbd.parquet,0,10,0.15,1,yearly,0,ps,,True
542849b5,predictor_542849b5.parquet,0,15,0.15,1,yearly,0,ps,,True
8be22f1e,predictor_8be22f1e.parquet,0,20,0.15,1,yearly,0,ps,,True
b345681a,predictor_b345681a.parquet,0,30,0.15,1,yearly,0,ps,,True
fda0e0da,predictor_fda0e0da.parquet,0,5,,2,yearly,0,ps,,True
184b4d8d,predictor_184b4d8d.parquet,0,10,,2,yearly,0,ps,,True
8fdd9047,predictor_8fdd9047.parquet,0,15,,2,yearly,0,ps,,True
6d5c2496,predictor_6d5c2496.parquet,0,20,,2,yearly,0,ps,,True
8d53cb23,predictor_8d53cb23.parquet,0,30,,2,yearly,0,ps,,True
10fcd0b5,predictor_10fcd0b5.parquet,0,5,0.05,2,yearly,0,ps,,True
6203f44c,predictor_6203f44c.parquet,0,10,0.05,2,yearly,0,ps,,True
2209e428,predictor_2209e428.parquet,0,15,0.05,2,yearly,0,ps,,True
3d73da2c,predictor_3d73da2c.parquet,0,20,0.05,2,yearly,0,ps,,True
17371a9e,predictor_17371a9e.parquet,0,30,0.05,2,yearly,0,ps,,True
8feb298a,predictor_8feb298a.parquet,0,5,0.1,2,yearly,0,ps,,True
bddca64f,predictor_bddca64f.parquet,0,10,0.1,2,yearly,0,ps,,True
d7861af9,predictor_d7861af9.parquet,0,15,0.1,2,yearly,0,ps,,True
0fc3879f,predictor_0fc3879f.parquet,0,20,0.1,2,yearly,0,ps,,True
355a274b,predictor_355a274b.parquet,0,30,0.1,2,yearly,0,ps,,True
f64eecf1,predictor_f64eecf1.parquet,0,5,0.15,2,yearly,0,ps,,True
f4fe0a35,predictor_f4fe0a35.parquet,0,10,0.15,2,yearly,0,ps,,True
9704d4e5,predictor_9704d4e5.parquet,0,15,0.15,2,yearly,0,ps,,True
78e51be2,predictor_78e51be2.parquet,0,20,0.15,2,yearly,0,ps,,True
b834d632,predictor_b834d632.parquet,0,30,0.15,2,yearly,0,ps,,True
b51b7165,predictor_b51b7165.parquet,0,5,,3,yearly,0,ps,,True
e78de787,predictor_e78de787.parquet,0,10,,3,yearly,0,ps,,True
75a7601c,predictor_75a7601c.parquet,0,15,,3,yearly,0,ps,,True
ba7e8652,predictor_ba7e8652.parquet,0,20,,3,yearly,0,ps,,True
ae24acc5,predictor_ae24acc5.parquet,0,30,,3,yearly,0,ps,,True
4abc1b6e,predictor_4abc1b6e.parquet,0,5,0.05,3,yearly,0,ps,,True
b4e0342b,predictor_b4e0342b.parquet,0,10,0.05,3,yearly,0,ps,,True
5a89a49d,predictor_5a89a49d.parquet,0,15,0.05,3,yearly,0,ps,,True
8af68ca8,predictor_8af68ca8.parquet,0,20,0.05,3,yearly,0,ps,,True
546b3372,predictor_546b3372.parquet,0,30,0.05,3,yearly,0,ps,,True
3c43f383,predictor_3c43f383.parquet,0,5,0.1,3,yearly,0,ps,,True
20abb1e0,predictor_20abb1e0.parquet,0,10,0.1,3,yearly,0,ps,,True
70453e53,predictor_70453e53.parquet,0,15,0.1,3,yearly,0,ps,,True
caaa32a3,predictor_caaa32a3.parquet,0,20,0.1,3,yearly,0,ps,,True
298be8d7,predictor_298be8d7.parquet,0,30,0.1,3,yearly,0,ps,,True
b997118d,predictor_b997118d.parquet,0,5,0.15,3,yearly,0,ps,,True
8c766634,predictor_8c766634.parquet,0,10,0.15,3,yearly,0,ps,,True
e617cf67,predictor_e617cf67.parquet,0,15,0.15,3,yearly,0,ps,,True
8e459322,predictor_8e459322.parquet,0,20,0.15,3,yearly,0,ps,,True
ab165e11,predictor_ab165e11.parquet,0,30,0.15,3,yearly,0,ps,,True
ec28ad68,predictor_ec28ad68_1.parquet,0,5,,1,2monthly,1,ps,,True
ec28ad68,predictor_ec28ad68_2.parquet,0,5,,1,2monthly,2,ps,,True
ec28ad68,predictor_ec28ad68_3.parquet,0,5,,1,2monthly,3,ps,,True
ec28ad68,predictor_ec28ad68_4.parquet,0,5,,1,2monthly,4,ps,,True
ec28ad68,predictor_ec28ad68_5.parquet,0,5,,1,2monthly,5,ps,,True
ec28ad68,predictor_ec28ad68_6.parquet,0,5,,1,2monthly,6,ps,,True
ec28ad68,predictor_ec28ad68_7.parquet,0,5,,1,2monthly,7,ps,,True
ec28ad68,predictor_ec28ad68_8.parquet,0,5,,1,2monthly,8,ps,,True
ec28ad68,predictor_ec28ad68_9.parquet,0,5,,1,2monthly,9,ps,,True
ec28ad68,predictor_ec28ad68_10.parquet,0,5,,1,2monthly,10,ps,,True
ec28ad68,predictor_ec28ad68_11.parquet,0,5,,1,2monthly,11,ps,,True
ec28ad68,predictor_ec28ad68_12.parquet,0,5,,1,2monthly,12,ps,,True
7617f0c6,predictor_7617f0c6_1.parquet,0,10,,1,2monthly,1,ps,,True
