id,filename,boxes,top_n,var_thresh,modes,frequency,season,methods,extra_indices,only_sea
193d753c,predictor_193d753c.parquet,0,5,None,1,yearly,0,ps,None,True
2775aa34,predictor_2775aa34.parquet,0,10,None,1,yearly,0,ps,None,True
25a8ed97,predictor_25a8ed97.parquet,0,15,None,1,yearly,0,ps,None,True
7da22af6,predictor_7da22af6.parquet,0,20,None,1,yearly,0,ps,None,True
daef6aaa,predictor_daef6aaa.parquet,0,30,None,1,yearly,0,ps,None,True
453a49bc,predictor_453a49bc.parquet,0,5,0.05,1,yearly,0,ps,None,True
0aa53161,predictor_0aa53161.parquet,0,10,0.05,1,yearly,0,ps,None,True
5da137b4,predictor_5da137b4.parquet,0,15,0.05,1,yearly,0,ps,None,True
9d2e3c87,predictor_9d2e3c87.parquet,0,20,0.05,1,yearly,0,ps,None,True
db6e7e93,predictor_db6e7e93.parquet,0,30,0.05,1,yearly,0,ps,None,True
d1bb7120,predictor_d1bb7120.parquet,0,5,0.1,1,yearly,0,ps,None,True
3a3c5964,predictor_3a3c5964.parquet,0,10,0.1,1,yearly,0,ps,None,True
e400ef7f,predictor_e400ef7f.parquet,0,15,0.1,1,yearly,0,ps,None,True
c83915f8,predictor_c83915f8.parquet,0,20,0.1,1,yearly,0,ps,None,True
581733a1,predictor_581733a1.parquet,0,30,0.1,1,yearly,0,ps,None,True
144710b3,predictor_144710b3.parquet,0,5,0.15,1,yearly,0,ps,None,True
b747f9f1,predictor_b747f9f1.parquet,0,10,0.15,1,yearly,0,ps,None,True
0fe61a92,predictor_0fe61a92.parquet,0,15,0.15,1,yearly,0,ps,None,True
8c66f888,predictor_8c66f888.parquet,0,20,0.15,1,yearly,0,ps,None,True
ac540d37,predictor_ac540d37.parquet,0,30,0.15,1,yearly,0,ps,None,True
c9098153,predictor_c9098153.parquet,0,5,None,2,yearly,0,ps,None,True
b670f3b3,predictor_b670f3b3.parquet,0,10,None,2,yearly,0,ps,None,True
38fc2a3b,predictor_38fc2a3b.parquet,0,15,None,2,yearly,0,ps,None,True
691e3482,predictor_691e3482.parquet,0,20,None,2,yearly,0,ps,None,True
0b67e01c,predictor_0b67e01c.parquet,0,30,None,2,yearly,0,ps,None,True
9279ad5b,predictor_9279ad5b.parquet,0,5,0.05,2,yearly,0,ps,None,True
85b347e2,predictor_85b347e2.parquet,0,10,0.05,2,yearly,0,ps,None,True
e0511955,predictor_e0511955.parquet,0,15,0.05,2,yearly,0,ps,None,True
06193050,predictor_06193050.parquet,0,20,0.05,2,yearly,0,ps,None,True
87929edd,predictor_87929edd.parquet,0,30,0.05,2,yearly,0,ps,None,True
d5737b13,predictor_d5737b13.parquet,0,5,0.1,2,yearly,0,ps,None,True
958211f0,predictor_958211f0.parquet,0,10,0.1,2,yearly,0,ps,None,True
bd9d424c,predictor_bd9d424c.parquet,0,15,0.1,2,yearly,0,ps,None,True
9312cc48,predictor_9312cc48.parquet,0,20,0.1,2,yearly,0,ps,None,True
cdfd40b9,predictor_cdfd40b9.parquet,0,30,0.1,2,yearly,0,ps,None,True
a8bd0923,predictor_a8bd0923.parquet,0,5,0.15,2,yearly,0,ps,None,True
4a5654f0,predictor_4a5654f0.parquet,0,10,0.15,2,yearly,0,ps,None,True
6f7f4e59,predictor_6f7f4e59.parquet,0,15,0.15,2,yearly,0,ps,None,True
ffe4b64a,predictor_ffe4b64a.parquet,0,20,0.15,2,yearly,0,ps,None,True
aed0ac56,predictor_aed0ac56.parquet,0,30,0.15,2,yearly,0,ps,None,True
b49a2a4a,predictor_b49a2a4a.parquet,0,5,None,3,yearly,0,ps,None,True
b6767caa,predictor_b6767caa.parquet,0,10,None,3,yearly,0,ps,None,True
5d824267,predictor_5d824267.parquet,0,15,None,3,yearly,0,ps,None,True
086770b5,predictor_086770b5.parquet,0,20,None,3,yearly,0,ps,None,True
3f503f08,predictor_3f503f08.parquet,0,30,None,3,yearly,0,ps,None,True
2107e1fc,predictor_2107e1fc.parquet,0,5,0.05,3,yearly,0,ps,None,True
5cd51515,predictor_5cd51515.parquet,0,10,0.05,3,yearly,0,ps,None,True
e8f66b9a,predictor_e8f66b9a.parquet,0,15,0.05,3,yearly,0,ps,None,True
3ea841f2,predictor_3ea841f2.parquet,0,20,0.05,3,yearly,0,ps,None,True
334963e7,predictor_334963e7.parquet,0,30,0.05,3,yearly,0,ps,None,True
9bb8193f,predictor_9bb8193f.parquet,0,5,0.1,3,yearly,0,ps,None,True
165fd81b,predictor_165fd81b.parquet,0,10,0.1,3,yearly,0,ps,None,True
c7b73f75,predictor_c7b73f75.parquet,0,15,0.1,3,yearly,0,ps,None,True
088c5d2c,predictor_088c5d2c.parquet,0,20,0.1,3,yearly,0,ps,None,True
7f254be1,predictor_7f254be1.parquet,0,30,0.1,3,yearly,0,ps,None,True
4d49f804,predictor_4d49f804.parquet,0,5,0.15,3,yearly,0,ps,None,True
c8a30c10,predictor_c8a30c10.parquet,0,10,0.15,3,yearly,0,ps,None,True
7b3cc30f,predictor_7b3cc30f.parquet,0,15,0.15,3,yearly,0,ps,None,True
9ba88653,predictor_9ba88653.parquet,0,20,0.15,3,yearly,0,ps,None,True
41e591df,predictor_41e591df.parquet,0,30,0.15,3,yearly,0,ps,None,True
515c5f16,predictor_515c5f16_1.parquet,0,5,None,1,2monthly,1,ps,None,True
515c5f16,predictor_515c5f16_2.parquet,0,5,None,1,2monthly,2,ps,None,True
515c5f16,predictor_515c5f16_3.parquet,0,5,None,1,2monthly,3,ps,None,True
515c5f16,predictor_515c5f16_4.parquet,0,5,None,1,2monthly,4,ps,None,True
515c5f16,predictor_515c5f16_5.parquet,0,5,None,1,2monthly,5,ps,None,True
515c5f16,predictor_515c5f16_6.parquet,0,5,None,1,2monthly,6,ps,None,True
515c5f16,predictor_515c5f16_7.parquet,0,5,None,1,2monthly,7,ps,None,True
515c5f16,predictor_515c5f16_8.parquet,0,5,None,1,2monthly,8,ps,None,True
515c5f16,predictor_515c5f16_9.parquet,0,5,None,1,2monthly,9,ps,None,True
515c5f16,predictor_515c5f16_10.parquet,0,5,None,1,2monthly,10,ps,None,True
515c5f16,predictor_515c5f16_11.parquet,0,5,None,1,2monthly,11,ps,None,True
515c5f16,predictor_515c5f16_12.parquet,0,5,None,1,2monthly,12,ps,None,True
33b6960f,predictor_33b6960f_1.parquet,0,10,None,1,2monthly,1,ps,None,True
33b6960f,predictor_33b6960f_2.parquet,0,10,None,1,2monthly,2,ps,None,True
33b6960f,predictor_33b6960f_3.parquet,0,10,None,1,2monthly,3,ps,None,True
33b6960f,predictor_33b6960f_4.parquet,0,10,None,1,2monthly,4,ps,None,True
33b6960f,predictor_33b6960f_5.parquet,0,10,None,1,2monthly,5,ps,None,True
33b6960f,predictor_33b6960f_6.parquet,0,10,None,1,2monthly,6,ps,None,True
33b6960f,predictor_33b6960f_7.parquet,0,10,None,1,2monthly,7,ps,None,True
33b6960f,predictor_33b6960f_8.parquet,0,10,None,1,2monthly,8,ps,None,True
33b6960f,predictor_33b6960f_9.parquet,0,10,None,1,2monthly,9,ps,None,True
33b6960f,predictor_33b6960f_10.parquet,0,10,None,1,2monthly,10,ps,None,True
33b6960f,predictor_33b6960f_11.parquet,0,10,None,1,2monthly,11,ps,None,True
33b6960f,predictor_33b6960f_12.parquet,0,10,None,1,2monthly,12,ps,None,True
8ee5f8a8,predictor_8ee5f8a8_1.parquet,0,15,None,1,2monthly,1,ps,None,True
