id,filename,boxes,top_n,var_thresh,modes,frequency,season,methods,extra_indices,only_sea
c58d6cd4,predictor_c58d6cd4.parquet,0,5,,1,yearly,0,ps,,False
f6fe2bdd,predictor_f6fe2bdd.parquet,0,10,,1,yearly,0,ps,,False
f7e8e8b5,predictor_f7e8e8b5.parquet,0,15,,1,yearly,0,ps,,False
a2ab7bdb,predictor_a2ab7bdb.parquet,0,20,,1,yearly,0,ps,,False
bb11a417,predictor_bb11a417.parquet,0,30,,1,yearly,0,ps,,False
2deda7df,predictor_2deda7df.parquet,0,5,0.05,1,yearly,0,ps,,False
d5a2e728,predictor_d5a2e728.parquet,0,10,0.05,1,yearly,0,ps,,False
c8c5db88,predictor_c8c5db88.parquet,0,15,0.05,1,yearly,0,ps,,False
3dd6f774,predictor_3dd6f774.parquet,0,20,0.05,1,yearly,0,ps,,False
7a30744e,predictor_7a30744e.parquet,0,30,0.05,1,yearly,0,ps,,False
3469f5da,predictor_3469f5da.parquet,0,5,0.1,1,yearly,0,ps,,False
6567578b,predictor_6567578b.parquet,0,10,0.1,1,yearly,0,ps,,False
acbe3f3c,predictor_acbe3f3c.parquet,0,15,0.1,1,yearly,0,ps,,False
9cc22ddf,predictor_9cc22ddf.parquet,0,20,0.1,1,yearly,0,ps,,False
cf3f885a,predictor_cf3f885a.parquet,0,30,0.1,1,yearly,0,ps,,False
a5662965,predictor_a5662965.parquet,0,5,0.15,1,yearly,0,ps,,False
6722fc0d,predictor_6722fc0d.parquet,0,10,0.15,1,yearly,0,ps,,False
ff9a0914,predictor_ff9a0914.parquet,0,15,0.15,1,yearly,0,ps,,False
ccc381e5,predictor_ccc381e5.parquet,0,20,0.15,1,yearly,0,ps,,False
c44622e0,predictor_c44622e0.parquet,0,30,0.15,1,yearly,0,ps,,False
300c1d84,predictor_300c1d84.parquet,0,5,,2,yearly,0,ps,,False
9a84dbf7,predictor_9a84dbf7.parquet,0,10,,2,yearly,0,ps,,False
138abed7,predictor_138abed7.parquet,0,15,,2,yearly,0,ps,,False
230d2388,predictor_230d2388.parquet,0,20,,2,yearly,0,ps,,False
31c0b60b,predictor_31c0b60b.parquet,0,30,,2,yearly,0,ps,,False
9227b8e2,predictor_9227b8e2.parquet,0,5,0.05,2,yearly,0,ps,,False
ef8f23cf,predictor_ef8f23cf.parquet,0,10,0.05,2,yearly,0,ps,,False
3ed3ab14,predictor_3ed3ab14.parquet,0,15,0.05,2,yearly,0,ps,,False
d7ceb437,predictor_d7ceb437.parquet,0,20,0.05,2,yearly,0,ps,,False
3f687e98,predictor_3f687e98.parquet,0,30,0.05,2,yearly,0,ps,,False
2bedd781,predictor_2bedd781.parquet,0,5,0.1,2,yearly,0,ps,,False
b12255cf,predictor_b12255cf.parquet,0,10,0.1,2,yearly,0,ps,,False
020777f8,predictor_020777f8.parquet,0,15,0.1,2,yearly,0,ps,,False
f0d784b0,predictor_f0d784b0.parquet,0,20,0.1,2,yearly,0,ps,,False
f34d5097,predictor_f34d5097.parquet,0,30,0.1,2,yearly,0,ps,,False
644ad247,predictor_644ad247.parquet,0,5,0.15,2,yearly,0,ps,,False
8f361b9f,predictor_8f361b9f.parquet,0,10,0.15,2,yearly,0,ps,,False
a2045b15,predictor_a2045b15.parquet,0,15,0.15,2,yearly,0,ps,,False
18c84171,predictor_18c84171.parquet,0,20,0.15,2,yearly,0,ps,,False
ba56f6c8,predictor_ba56f6c8.parquet,0,30,0.15,2,yearly,0,ps,,False
1f6a0f1f,predictor_1f6a0f1f.parquet,0,5,,3,yearly,0,ps,,False
716f8f38,predictor_716f8f38.parquet,0,10,,3,yearly,0,ps,,False
aea36223,predictor_aea36223.parquet,0,15,,3,yearly,0,ps,,False
06ab6164,predictor_06ab6164.parquet,0,20,,3,yearly,0,ps,,False
13173051,predictor_13173051.parquet,0,30,,3,yearly,0,ps,,False
14928e77,predictor_14928e77.parquet,0,5,0.05,3,yearly,0,ps,,False
9d6b26f4,predictor_9d6b26f4.parquet,0,10,0.05,3,yearly,0,ps,,False
9192fe59,predictor_9192fe59.parquet,0,15,0.05,3,yearly,0,ps,,False
e644cd24,predictor_e644cd24.parquet,0,20,0.05,3,yearly,0,ps,,False
e225d969,predictor_e225d969.parquet,0,30,0.05,3,yearly,0,ps,,False
b079004f,predictor_b079004f.parquet,0,5,0.1,3,yearly,0,ps,,False
9fc1468d,predictor_9fc1468d.parquet,0,10,0.1,3,yearly,0,ps,,False
a766b69b,predictor_a766b69b.parquet,0,15,0.1,3,yearly,0,ps,,False
d957b284,predictor_d957b284.parquet,0,20,0.1,3,yearly,0,ps,,False
f9efa5b9,predictor_f9efa5b9.parquet,0,30,0.1,3,yearly,0,ps,,False
2a52dc60,predictor_2a52dc60.parquet,0,5,0.15,3,yearly,0,ps,,False
c21aec19,predictor_c21aec19.parquet,0,10,0.15,3,yearly,0,ps,,False
8873b13a,predictor_8873b13a.parquet,0,15,0.15,3,yearly,0,ps,,False
598f6e5d,predictor_598f6e5d.parquet,0,20,0.15,3,yearly,0,ps,,False
808f99a6,predictor_808f99a6.parquet,0,30,0.15,3,yearly,0,ps,,False
dc3bd026,predictor_dc3bd026_1.parquet,0,5,,1,2monthly,1,ps,,False
dc3bd026,predictor_dc3bd026_2.parquet,0,5,,1,2monthly,2,ps,,False
dc3bd026,predictor_dc3bd026_3.parquet,0,5,,1,2monthly,3,ps,,False
dc3bd026,predictor_dc3bd026_4.parquet,0,5,,1,2monthly,4,ps,,False
dc3bd026,predictor_dc3bd026_5.parquet,0,5,,1,2monthly,5,ps,,False
dc3bd026,predictor_dc3bd026_6.parquet,0,5,,1,2monthly,6,ps,,False
dc3bd026,predictor_dc3bd026_7.parquet,0,5,,1,2monthly,7,ps,,False
dc3bd026,predictor_dc3bd026_8.parquet,0,5,,1,2monthly,8,ps,,False
dc3bd026,predictor_dc3bd026_9.parquet,0,5,,1,2monthly,9,ps,,False
dc3bd026,predictor_dc3bd026_10.parquet,0,5,,1,2monthly,10,ps,,False
dc3bd026,predictor_dc3bd026_11.parquet,0,5,,1,2monthly,11,ps,,False
dc3bd026,predictor_dc3bd026_12.parquet,0,5,,1,2monthly,12,ps,,False
45e525be,predictor_45e525be_1.parquet,0,10,,1,2monthly,1,ps,,False
45e525be,predictor_45e525be_2.parquet,0,10,,1,2monthly,2,ps,,False
45e525be,predictor_45e525be_3.parquet,0,10,,1,2monthly,3,ps,,False
45e525be,predictor_45e525be_4.parquet,0,10,,1,2monthly,4,ps,,False
45e525be,predictor_45e525be_5.parquet,0,10,,1,2monthly,5,ps,,False
45e525be,predictor_45e525be_6.parquet,0,10,,1,2monthly,6,ps,,False
45e525be,predictor_45e525be_7.parquet,0,10,,1,2monthly,7,ps,,False
45e525be,predictor_45e525be_8.parquet,0,10,,1,2monthly,8,ps,,False
45e525be,predictor_45e525be_9.parquet,0,10,,1,2monthly,9,ps,,False
45e525be,predictor_45e525be_10.parquet,0,10,,1,2monthly,10,ps,,False
45e525be,predictor_45e525be_11.parquet,0,10,,1,2monthly,11,ps,,False
45e525be,predictor_45e525be_12.parquet,0,10,,1,2monthly,12,ps,,False
9438dc46,predictor_9438dc46_1.parquet,0,15,,1,2monthly,1,ps,,False
9438dc46,predictor_9438dc46_2.parquet,0,15,,1,2monthly,2,ps,,False
9438dc46,predictor_9438dc46_3.parquet,0,15,,1,2monthly,3,ps,,False
9438dc46,predictor_9438dc46_4.parquet,0,15,,1,2monthly,4,ps,,False
9438dc46,predictor_9438dc46_5.parquet,0,15,,1,2monthly,5,ps,,False
9438dc46,predictor_9438dc46_6.parquet,0,15,,1,2monthly,6,ps,,False
9438dc46,predictor_9438dc46_7.parquet,0,15,,1,2monthly,7,ps,,False
9438dc46,predictor_9438dc46_8.parquet,0,15,,1,2monthly,8,ps,,False
9438dc46,predictor_9438dc46_9.parquet,0,15,,1,2monthly,9,ps,,False
9438dc46,predictor_9438dc46_10.parquet,0,15,,1,2monthly,10,ps,,False
9438dc46,predictor_9438dc46_11.parquet,0,15,,1,2monthly,11,ps,,False
9438dc46,predictor_9438dc46_12.parquet,0,15,,1,2monthly,12,ps,,False
0c4f1411,predictor_0c4f1411_1.parquet,0,20,,1,2monthly,1,ps,,False
0c4f1411,predictor_0c4f1411_2.parquet,0,20,,1,2monthly,2,ps,,False
0c4f1411,predictor_0c4f1411_3.parquet,0,20,,1,2monthly,3,ps,,False
0c4f1411,predictor_0c4f1411_4.parquet,0,20,,1,2monthly,4,ps,,False
0c4f1411,predictor_0c4f1411_5.parquet,0,20,,1,2monthly,5,ps,,False
0c4f1411,predictor_0c4f1411_6.parquet,0,20,,1,2monthly,6,ps,,False
0c4f1411,predictor_0c4f1411_7.parquet,0,20,,1,2monthly,7,ps,,False
0c4f1411,predictor_0c4f1411_8.parquet,0,20,,1,2monthly,8,ps,,False
0c4f1411,predictor_0c4f1411_9.parquet,0,20,,1,2monthly,9,ps,,False
0c4f1411,predictor_0c4f1411_10.parquet,0,20,,1,2monthly,10,ps,,False
0c4f1411,predictor_0c4f1411_11.parquet,0,20,,1,2monthly,11,ps,,False
0c4f1411,predictor_0c4f1411_12.parquet,0,20,,1,2monthly,12,ps,,False
4c12e921,predictor_4c12e921_1.parquet,0,30,,1,2monthly,1,ps,,False
4c12e921,predictor_4c12e921_2.parquet,0,30,,1,2monthly,2,ps,,False
4c12e921,predictor_4c12e921_3.parquet,0,30,,1,2monthly,3,ps,,False
4c12e921,predictor_4c12e921_4.parquet,0,30,,1,2monthly,4,ps,,False
4c12e921,predictor_4c12e921_5.parquet,0,30,,1,2monthly,5,ps,,False
4c12e921,predictor_4c12e921_6.parquet,0,30,,1,2monthly,6,ps,,False
4c12e921,predictor_4c12e921_7.parquet,0,30,,1,2monthly,7,ps,,False
4c12e921,predictor_4c12e921_8.parquet,0,30,,1,2monthly,8,ps,,False
4c12e921,predictor_4c12e921_9.parquet,0,30,,1,2monthly,9,ps,,False
4c12e921,predictor_4c12e921_10.parquet,0,30,,1,2monthly,10,ps,,False
4c12e921,predictor_4c12e921_11.parquet,0,30,,1,2monthly,11,ps,,False
4c12e921,predictor_4c12e921_12.parquet,0,30,,1,2monthly,12,ps,,False
5451e645,predictor_5451e645_1.parquet,0,5,0.05,1,2monthly,1,ps,,False
5451e645,predictor_5451e645_2.parquet,0,5,0.05,1,2monthly,2,ps,,False
5451e645,predictor_5451e645_3.parquet,0,5,0.05,1,2monthly,3,ps,,False
5451e645,predictor_5451e645_4.parquet,0,5,0.05,1,2monthly,4,ps,,False
5451e645,predictor_5451e645_5.parquet,0,5,0.05,1,2monthly,5,ps,,False
5451e645,predictor_5451e645_6.parquet,0,5,0.05,1,2monthly,6,ps,,False
5451e645,predictor_5451e645_7.parquet,0,5,0.05,1,2monthly,7,ps,,False
5451e645,predictor_5451e645_8.parquet,0,5,0.05,1,2monthly,8,ps,,False
5451e645,predictor_5451e645_9.parquet,0,5,0.05,1,2monthly,9,ps,,False
5451e645,predictor_5451e645_10.parquet,0,5,0.05,1,2monthly,10,ps,,False
5451e645,predictor_5451e645_11.parquet,0,5,0.05,1,2monthly,11,ps,,False
5451e645,predictor_5451e645_12.parquet,0,5,0.05,1,2monthly,12,ps,,False
25721666,predictor_25721666_1.parquet,0,10,0.05,1,2monthly,1,ps,,False
25721666,predictor_25721666_2.parquet,0,10,0.05,1,2monthly,2,ps,,False
25721666,predictor_25721666_3.parquet,0,10,0.05,1,2monthly,3,ps,,False
25721666,predictor_25721666_4.parquet,0,10,0.05,1,2monthly,4,ps,,False
25721666,predictor_25721666_5.parquet,0,10,0.05,1,2monthly,5,ps,,False
25721666,predictor_25721666_6.parquet,0,10,0.05,1,2monthly,6,ps,,False
25721666,predictor_25721666_7.parquet,0,10,0.05,1,2monthly,7,ps,,False
25721666,predictor_25721666_8.parquet,0,10,0.05,1,2monthly,8,ps,,False
25721666,predictor_25721666_9.parquet,0,10,0.05,1,2monthly,9,ps,,False
25721666,predictor_25721666_10.parquet,0,10,0.05,1,2monthly,10,ps,,False
25721666,predictor_25721666_11.parquet,0,10,0.05,1,2monthly,11,ps,,False
25721666,predictor_25721666_12.parquet,0,10,0.05,1,2monthly,12,ps,,False
