id,filename,boxes,top_n,var_thresh,modes,frequency,season,methods,extra_indices,only_sea
3f754c3e,predictor_3f754c3e.parquet,0,5,,1,yearly,0,ps,,False
a777fbaa,predictor_a777fbaa.parquet,0,10,,1,yearly,0,ps,,False
00a864a2,predictor_00a864a2.parquet,0,15,,1,yearly,0,ps,,False
04487a0f,predictor_04487a0f.parquet,0,20,,1,yearly,0,ps,,False
6117e26d,predictor_6117e26d.parquet,0,30,,1,yearly,0,ps,,False
3d3f66fc,predictor_3d3f66fc.parquet,0,5,0.05,1,yearly,0,ps,,False
64fe2b91,predictor_64fe2b91.parquet,0,10,0.05,1,yearly,0,ps,,False
158b1bb7,predictor_158b1bb7.parquet,0,15,0.05,1,yearly,0,ps,,False
ebff0832,predictor_ebff0832.parquet,0,20,0.05,1,yearly,0,ps,,False
d456c36b,predictor_d456c36b.parquet,0,30,0.05,1,yearly,0,ps,,False
fee4ca4e,predictor_fee4ca4e.parquet,0,5,0.1,1,yearly,0,ps,,False
36490f7e,predictor_36490f7e.parquet,0,10,0.1,1,yearly,0,ps,,False
8f013edd,predictor_8f013edd.parquet,0,15,0.1,1,yearly,0,ps,,False
fe52a2cf,predictor_fe52a2cf.parquet,0,20,0.1,1,yearly,0,ps,,False
d96d3573,predictor_d96d3573.parquet,0,30,0.1,1,yearly,0,ps,,False
9be46bfc,predictor_9be46bfc.parquet,0,5,0.15,1,yearly,0,ps,,False
77b4c3c8,predictor_77b4c3c8.parquet,0,10,0.15,1,yearly,0,ps,,False
e7564ecb,predictor_e7564ecb.parquet,0,15,0.15,1,yearly,0,ps,,False
d1074c0b,predictor_d1074c0b.parquet,0,20,0.15,1,yearly,0,ps,,False
08670c56,predictor_08670c56.parquet,0,30,0.15,1,yearly,0,ps,,False
8ed44f24,predictor_8ed44f24.parquet,0,5,,2,yearly,0,ps,,False
208ad172,predictor_208ad172.parquet,0,10,,2,yearly,0,ps,,False
2dc7a6b2,predictor_2dc7a6b2.parquet,0,15,,2,yearly,0,ps,,False
2c672639,predictor_2c672639.parquet,0,20,,2,yearly,0,ps,,False
48d28c8d,predictor_48d28c8d.parquet,0,30,,2,yearly,0,ps,,False
0434fe07,predictor_0434fe07.parquet,0,5,0.05,2,yearly,0,ps,,False
da0a637b,predictor_da0a637b.parquet,0,10,0.05,2,yearly,0,ps,,False
36b4f646,predictor_36b4f646.parquet,0,15,0.05,2,yearly,0,ps,,False
3960853b,predictor_3960853b.parquet,0,20,0.05,2,yearly,0,ps,,False
bd5e659a,predictor_bd5e659a.parquet,0,30,0.05,2,yearly,0,ps,,False
3f82728f,predictor_3f82728f.parquet,0,5,0.1,2,yearly,0,ps,,False
97adc01c,predictor_97adc01c.parquet,0,10,0.1,2,yearly,0,ps,,False
7e115482,predictor_7e115482.parquet,0,15,0.1,2,yearly,0,ps,,False
18cce407,predictor_18cce407.parquet,0,20,0.1,2,yearly,0,ps,,False
3a8caa87,predictor_3a8caa87.parquet,0,30,0.1,2,yearly,0,ps,,False
fa677089,predictor_fa677089.parquet,0,5,0.15,2,yearly,0,ps,,False
138f0a24,predictor_138f0a24.parquet,0,10,0.15,2,yearly,0,ps,,False
787bd8f3,predictor_787bd8f3.parquet,0,15,0.15,2,yearly,0,ps,,False
7d4597e7,predictor_7d4597e7.parquet,0,20,0.15,2,yearly,0,ps,,False
2e73db22,predictor_2e73db22.parquet,0,30,0.15,2,yearly,0,ps,,False
e2ca0207,predictor_e2ca0207.parquet,0,5,,3,yearly,0,ps,,False
2606a8b1,predictor_2606a8b1.parquet,0,10,,3,yearly,0,ps,,False
e90b81c1,predictor_e90b81c1.parquet,0,15,,3,yearly,0,ps,,False
