model,season,metric,stage,HWN,HWF,HWD,HWM,HWA,Average,id_data
RNN16,1,r2,prediction,0.6558755532863638,0.5029997501400401,0.4459057595703617,0.49874273876363373,0.6619091602175681,0.5530865923955935,6e47cb06
LSTM16,1,r2,prediction,0.5308417588392449,0.4690026205976502,0.29832724573196157,0.3821922111117284,0.47911366366623187,0.43189549998936344,6e47cb06
CNNRNN16,1,r2,prediction,0.2656753329924134,0.0891190948431001,0.1686503287927743,0.2027907806307837,0.23801902437974332,0.19285091232776297,6e47cb06
MLP16,1,r2,prediction,-0.2265590756707605,-0.2425465167673151,-0.23373767309011706,-0.012759954703301046,0.09811085023187116,-0.1234984739999245,6e47cb06
RNN16,2,r2,prediction,0.132631994166596,0.11270838176657572,-0.2046553077437281,-0.13060805470729342,0.016623764148641085,-0.014659844473841744,6e47cb06
LSTM16,2,r2,prediction,0.03656246832888521,-0.12382594739213193,-0.6600018067169919,-0.20334594124996275,-0.23256661929795408,-0.2366355692656311,6e47cb06
CNNRNN16,2,r2,prediction,0.1496640313174431,0.3039843406513273,0.12119276871987594,0.20131373480103598,0.14514895144270556,0.18426076538647757,6e47cb06
MLP16,2,r2,prediction,-0.28948814850571614,-1.0976919463444488,-0.545086854703368,-0.28730589503903436,-0.30895673372509935,-0.5057059156635333,6e47cb06
RNN16,3,r2,prediction,-0.9751392230656841,-0.5111387177196154,0.06693227905810262,-0.7431158006824099,-0.16314293807249625,-0.46512088009642066,6e47cb06
LSTM16,3,r2,prediction,-1.447520047974213,-2.730100948040592,-1.4385671446439616,-0.36627991537189164,-0.7625790612352905,-1.3490094234531897,6e47cb06
CNNRNN16,3,r2,prediction,-1.9033147833394972,-2.5697749483500374,-1.8098905851806046,-0.4973142783343689,-0.9337042154834383,-1.5427997621375895,6e47cb06
MLP16,3,r2,prediction,-1.7421438131931737,-7.83905209742308,-2.362534720780931,-1.0497829509424528,-0.6936697850985636,-2.73743667348764,6e47cb06
RNN16,4,r2,prediction,-0.14773690389172311,-0.860743551798659,0.02237808977971434,0.30591034281057605,0.5945936732356543,-0.017119669972887497,6e47cb06
LSTM16,4,r2,prediction,-1.195711320501676,-3.4116535484248667,-0.13772313685378834,0.4248075421253592,0.3419778014485759,-0.7956605324412791,6e47cb06
CNNRNN16,4,r2,prediction,-1.6845868604011494,-1.636919667265583,-0.29598534911489693,0.1503471928570288,-0.048117262486131906,-0.7030523892821465,6e47cb06
MLP16,4,r2,prediction,-1.665197502328983,-3.7756285482606398,-1.1813087725248579,0.30512112237916367,0.02625326619990631,-1.2581520869070821,6e47cb06
RNN16,5,r2,prediction,0.01366050748170533,0.007418335690132505,0.016415380398975943,-1.2848015418838448,-0.5911443299107986,-0.3676903296447659,6e47cb06
LSTM16,5,r2,prediction,0.036753371620514064,-0.01282012284786127,-0.025389380451020793,-0.32012285628339066,-0.28809264632282017,-0.12193432685691577,6e47cb06
CNNRNN16,5,r2,prediction,-0.43556546184854805,-0.06315870289952041,0.0739311659315477,-0.7493078943928841,-0.14027931433863983,-0.2628760415096089,6e47cb06
MLP16,5,r2,prediction,0.0649320836863968,-0.13281177284799406,-0.004421121819150553,-0.2635072263570537,-0.24931250063707755,-0.11702410759497581,6e47cb06
RNN16,6,r2,prediction,-0.894897827969446,-0.9777800897088442,-0.8927826374056194,-0.44534649545996374,-0.26518759275978043,-0.6951989286607307,6e47cb06
LSTM16,6,r2,prediction,-0.7595749790215864,-1.4184987728980838,-1.1824415104496904,-0.31383506129638206,-0.06596176019606914,-0.7480624167723624,6e47cb06
CNNRNN16,6,r2,prediction,-2.146041922668285,-3.233349483211726,-2.783717155758613,-0.7632237011588148,-1.068048048459612,-1.9988760622514103,6e47cb06
MLP16,6,r2,prediction,-0.7855847528773598,-0.7264133929026664,-0.8208721296701096,0.03814024013042161,-0.030002718009378482,-0.46494655066581847,6e47cb06
RNN16,7,r2,prediction,-0.03505630531355264,0.07722805023365842,-0.34820098690579093,-1.134556708130014,-0.3631814267391624,-0.36075347537097235,6e47cb06
LSTM16,7,r2,prediction,-0.10587328689720876,0.10011201873720732,0.09808460142766828,-1.1710997048564868,-0.6531021308184728,-0.3463757004814586,6e47cb06
CNNRNN16,7,r2,prediction,-1.0071225187778379,-0.7059123750150844,-0.5149624543560094,-1.6599356741131164,-1.1304484699990334,-1.0036762984522163,6e47cb06
MLP16,7,r2,prediction,-0.19864614885858423,-0.08696764869198526,-0.3192512192116268,-0.3713945954069029,-0.7948274894720657,-0.354217420328233,6e47cb06
RNN16,8,r2,prediction,-1.0982697258092657,-0.5595431304833232,-0.7312388374162799,-0.42090886492501856,-0.2975372078388625,-0.62149955329455,6e47cb06
LSTM16,8,r2,prediction,-0.10353697436308451,0.057659107409630206,-0.10412796432056237,-0.2162724192360419,-0.12219432798762742,-0.0976945156995372,6e47cb06
CNNRNN16,8,r2,prediction,0.677479934714031,-0.32486684783827946,-0.337359553352258,-0.23411414842028155,0.336170143081135,0.023461905636869406,6e47cb06
MLP16,8,r2,prediction,-1.0320638123958994,-0.456391273030222,-0.7450887186995296,-0.11108461863771879,-0.171591048280058,-0.5032438942086855,6e47cb06
RNN16,9,r2,prediction,0.05755179942926458,0.11287573555061425,0.27706400389203245,0.1405802394673915,-0.0702714282330168,0.1035600700212572,6e47cb06
LSTM16,9,r2,prediction,0.016338108853073408,-0.018821222881777455,0.028273910758444987,-0.12705199863248628,-0.08310604560449941,-0.036873449501448954,6e47cb06
CNNRNN16,9,r2,prediction,-0.11602128801941003,-0.15233438337960692,-0.11414577747414945,0.01391011102460804,-0.20427338092725278,-0.11457294375516222,6e47cb06
MLP16,9,r2,prediction,-0.03784489565803817,0.08976411711951993,0.16109501556323003,0.2930808285483011,0.20567951478780466,0.1423549160721635,6e47cb06
RNN16,10,r2,prediction,0.21285062774515084,0.44532792865502824,0.29178924799544415,-0.49311189588888427,-0.38008290753061647,0.0153546001952245,6e47cb06
LSTM16,10,r2,prediction,0.12084336050602751,0.5575942270097756,0.3659672865791732,-0.14463148362864442,-0.16779205019807586,0.1463962680536512,6e47cb06
CNNRNN16,10,r2,prediction,-0.7575716779577082,0.1565500316878311,0.15855705591061375,-1.1935058424653882,-0.8574121446931251,-0.49867651550355535,6e47cb06
MLP16,10,r2,prediction,-0.2866122108374216,0.12308601607193015,0.1953575859945027,-0.43553295043530005,-0.419092058429948,-0.16455872352724737,6e47cb06
RNN16,11,r2,prediction,-0.04180190484467361,0.1756727109004914,0.16630761090661283,-0.47177750900203574,-0.17029877222460432,-0.06837957285284188,6e47cb06
LSTM16,11,r2,prediction,0.4771400996289984,0.49040380911001635,0.40514985673403114,0.4806230399697812,0.36598153121976096,0.4438596673325176,6e47cb06
CNNRNN16,11,r2,prediction,-0.4359911109683905,-0.10245330866701141,-0.21382915114823997,-0.44951831585530333,-0.12423972466552469,-0.26520632226089397,6e47cb06
MLP16,11,r2,prediction,0.028998828849733593,0.26676621114650445,0.26988264511137317,-0.21295007261279175,-0.0890150984763558,0.05273650280369273,6e47cb06
RNN16,12,r2,prediction,-57.69559092821269,-184.85066444807808,-113.57912839918482,-204.7474800892503,-165.1954105808401,-145.2136548891132,6e47cb06
LSTM16,12,r2,prediction,-75.80953292750047,-173.2194681545483,-85.75412297858352,-128.79558280878018,-118.72777793892915,-116.46129696166834,6e47cb06
CNNRNN16,12,r2,prediction,-42.923994371121616,-110.80440248007174,-80.27052627574214,-142.10708977560228,-99.35056476040269,-95.09131553258808,6e47cb06
MLP16,12,r2,prediction,-55.41109437387874,-130.33858936899352,-79.17691353200303,-143.03204468159893,-112.21611275876687,-104.03495094304822,6e47cb06
RNN16,1,mape,prediction,1.0790540032669533,0.7643289437524564,1.5677989053403745,1.0236700723441756,0.6921991162643486,1.0254102081936618,6e47cb06
LSTM16,1,mape,prediction,1.146517071424807,1.008400315303406,1.1148965647258808,1.1428859294442686,1.1691559309268265,1.1163711623650379,6e47cb06
CNNRNN16,1,mape,prediction,1.3974909385358516,1.473928669839464,1.679836104488016,1.4113938797009074,1.282135599309905,1.448957038374829,6e47cb06
MLP16,1,mape,prediction,2.026384109523072,2.3128992710069687,2.680360824929629,1.9138313941916727,1.7576536349122278,2.138225846912714,6e47cb06
RNN16,2,mape,prediction,1.2142492308790778,1.1655102554793308,2.0935179912572592,1.7863578173148524,1.7123233377992926,1.5943917265459624,6e47cb06
LSTM16,2,mape,prediction,1.2693705266438757,1.251922609627735,3.3471606505260154,1.5805817697407918,2.1135927009919846,1.9125256515060804,6e47cb06
CNNRNN16,2,mape,prediction,1.1838273334044476,0.8315690965083162,1.8119760083270928,1.7536279819851224,1.5816617210120278,1.4325324282474015,6e47cb06
MLP16,2,mape,prediction,1.5593597071280798,1.4032942249399865,3.9241432173276705,2.0088395375246604,2.67967841371836,2.3150630201277513,6e47cb06
RNN16,3,mape,prediction,1.1259008155270596,0.7491704681850564,2.3053598513752602,1.4364266591907167,0.931512436962912,1.309674046248201,6e47cb06
LSTM16,3,mape,prediction,1.1484489000295977,1.7830214995067724,1.5747735147725619,1.2523322041950862,1.276988023170437,1.4071128283348913,6e47cb06
CNNRNN16,3,mape,prediction,1.6523281652316761,2.183455541469038,2.396684950812404,1.8826844749551728,1.3939070237818079,1.9018120312500197,6e47cb06
MLP16,3,mape,prediction,1.4318619396037646,2.390639313774064,2.1363603917916487,1.6932748080947202,1.3243950392105848,1.7953062984949564,6e47cb06
RNN16,4,mape,prediction,1.3979004061054956,1.529770150650887,0.9113320583415284,15.94896796786696,1.8188958689786912,4.321373290388712,6e47cb06
LSTM16,4,mape,prediction,4.534930984853568,3.996919332223249,0.8991016570417856,10.957183953317422,4.96977570751002,5.071582326989209,6e47cb06
CNNRNN16,4,mape,prediction,1.2665463997696838,1.1888297350622843,0.7490468316872025,12.635600710144214,6.627409988633228,4.4934867330593224,6e47cb06
MLP16,4,mape,prediction,1.9886474772535518,2.939326966582624,1.0902637701458828,6.346774223259538,8.833673566813777,4.239737200811075,6e47cb06
RNN16,5,mape,prediction,11.638794349261056,0.9419595119007406,0.9087164382800399,2.0888847208984425,1.9050106700919005,3.496673138086436,6e47cb06
LSTM16,5,mape,prediction,7.763575994608527,1.3120761191646735,1.2752525021186902,1.4121853602475123,1.533549254122945,2.6593278460524696,6e47cb06
CNNRNN16,5,mape,prediction,7.558655533910198,1.0943815772147347,1.6694398152427197,1.6778320901959873,1.1875231238962785,2.6375664280919837,6e47cb06
MLP16,5,mape,prediction,10.788110328496547,1.6133403190422626,1.666248097200842,1.463972615759226,1.5487881864880255,3.416091909397381,6e47cb06
RNN16,6,mape,prediction,2.3842937777667914,1.4564741364015443,1.3726490967601073,2.6346819680972855,1.783181498442719,1.9262560954936894,6e47cb06
LSTM16,6,mape,prediction,2.631191577945329,1.7479795990636753,1.4126506744923986,3.2629712841588003,2.1771665741141364,2.246391941954868,6e47cb06
CNNRNN16,6,mape,prediction,3.785923282427391,2.8845099442638094,2.0816237903276646,3.677279836296151,2.9726343159928574,3.0803942338615746,6e47cb06
