model,season,metric,stage,HWN,HWF,HWD,HWM,HWA,Average,id_data
RNN16,1,r2,prediction,-0.2566166880483618,-0.10207907801825122,-0.0935534158671838,0.06090816026263801,-0.9781300450451942,-0.2738942133432706,b33fc639
LSTM16,1,r2,prediction,-0.18196973704413466,-0.07512507781695876,-0.08116324239436201,-0.6310329097662379,-0.6299007207363998,-0.3198383375516186,b33fc639
CNNRNN16,1,r2,prediction,-0.1975515513074162,0.0924506956925949,-0.09793161292510799,-0.6818683620630015,0.05250833489092932,-0.1664784991424003,b33fc639
MLP16,1,r2,prediction,-0.16390233648398733,-0.13961555599770903,-0.10700284143892524,-0.40093699076783884,-0.5628373788792425,-0.27485902071354057,b33fc639
RNN16,2,r2,prediction,-1.8204001438071402,-1.7136292884367488,-3.8991296420928565,-0.24224809494774902,-0.5420697256904872,-1.6434953789949964,b33fc639
LSTM16,2,r2,prediction,-1.2071367658076566,-0.7492356119476686,-1.9449079680581765,0.006765446579650947,-0.3623431811601787,-0.8513716160788058,b33fc639
CNNRNN16,2,r2,prediction,-1.6982962154683685,-1.4737473019984795,-3.6463962194981523,-0.5416426526062899,-0.3863118712553657,-1.5492788521653313,b33fc639
MLP16,2,r2,prediction,-1.1836279710451882,-1.0400013816320928,-2.1215016332382453,0.17712126035295161,0.1835925655950439,-0.7968834319935063,b33fc639
RNN16,3,r2,prediction,0.28691419293832576,0.035624574229714434,0.008944052687682835,-0.07511743678984106,0.14825788187643552,0.08092465298846349,b33fc639
LSTM16,3,r2,prediction,-0.12416812208864703,-0.13926342254390067,-0.27842052653723015,-0.16503853239280275,-0.16867978971809294,-0.1751140786561347,b33fc639
CNNRNN16,3,r2,prediction,-0.02270828364090538,0.012855942023617839,0.011051785230065447,0.14005283329707297,-0.09289474841078693,0.009671505699812788,b33fc639
MLP16,3,r2,prediction,-0.2611010464762016,-0.8508591942515145,-0.7630309918091132,-0.4547783067048867,-0.6911332467158282,-0.6041805571915088,b33fc639
RNN16,4,r2,prediction,-0.41187341919706855,-0.7506636738725876,0.046835318462107756,0.4961046824335177,0.550003787681877,-0.013918660898430746,b33fc639
LSTM16,4,r2,prediction,-1.1100614381914453,-1.54572620341869,-0.28900322102258436,0.1878964960397398,-0.024901356728777024,-0.5563591446643514,b33fc639
CNNRNN16,4,r2,prediction,-0.5714326587787342,-1.3733654520360958,-0.49960227811656277,0.3406485518789434,0.8538755412284266,-0.24997525916480462,b33fc639
MLP16,4,r2,prediction,-0.5989428669261716,-1.876120327157027,0.015006475885290693,0.3459855619582104,0.7232503575661434,-0.2781641597347108,b33fc639
RNN16,5,r2,prediction,-0.22522065980440442,-0.2621568379061283,-0.15715153835229168,-0.12004935828476282,-0.2485160791985801,-0.20261889470923347,b33fc639
LSTM16,5,r2,prediction,0.09392320787815367,0.11857402057209987,0.12952938328789743,0.11753199682041937,-0.0011933783032587186,0.09167304605106233,b33fc639
CNNRNN16,5,r2,prediction,-0.09153151804029847,-0.1486749960899849,-0.20309262862327793,-0.03187617331910397,-0.19385546890958172,-0.1338061569964494,b33fc639
MLP16,5,r2,prediction,-0.18044657048895574,-0.15398827267864568,-0.5382831113413462,-0.21925355411084535,-0.15584518090365207,-0.24956333790468901,b33fc639
RNN16,6,r2,prediction,-0.27014713432834614,-0.21018975690434183,-0.46866957116891994,0.22988508607707914,-0.13503876219083755,-0.17083202770307326,b33fc639
LSTM16,6,r2,prediction,-0.6454136452181611,-1.0597170795886353,-0.6572465037778392,-0.3099988305897685,-0.4922998119978057,-0.632935174234442,b33fc639
CNNRNN16,6,r2,prediction,-0.08122345536439957,-0.123228757928741,-0.20159319796304787,0.12254557574374536,-0.1917695446170986,-0.09505387602590834,b33fc639
MLP16,6,r2,prediction,-0.2628793070565181,-0.28574110072566206,-0.08430304692572488,0.05874761410366902,0.1706052773664134,-0.08071411264756452,b33fc639
RNN16,7,r2,prediction,0.07085748412211368,0.37240450653559076,0.372773605951502,-0.4575615795601926,0.10706992440479779,0.09310878829076233,b33fc639
LSTM16,7,r2,prediction,0.27298794231100276,0.46331257993366404,0.19300244776417463,-0.023153377626971228,0.03131586526988195,0.18749309153035043,b33fc639
CNNRNN16,7,r2,prediction,-0.17800512787997635,-0.0006925858522404127,-0.2895092555333454,-0.34762815212889375,-0.15064985837803402,-0.19329699595449798,b33fc639
MLP16,7,r2,prediction,-0.0738491481740382,0.4326085233703355,0.4641330565813204,0.07332289122792268,0.22628988693910623,0.22450104198892934,b33fc639
RNN16,8,r2,prediction,-2.789223980674922,-7.628481268108121,-14.525946208725882,-1.2230627322480974,-2.4872955072034446,-5.7308019393920935,b33fc639
LSTM16,8,r2,prediction,-4.018852861383446,-8.182990373392293,-20.39317022584498,-2.130151107537086,-2.7299684978073095,-7.491026613193023,b33fc639
CNNRNN16,8,r2,prediction,-5.465289593551345,-11.334305599361253,-17.528991270682393,-2.5731235989930505,-3.1913567922400503,-8.018613370965618,b33fc639
MLP16,8,r2,prediction,-3.213270908160389,-6.041433739791165,-10.927130955498072,-1.7525500067609974,-1.9038791427569963,-4.767652950593524,b33fc639
RNN16,9,r2,prediction,0.5970778447581817,0.25996410287718286,-0.0071237099577772245,0.17311757685598694,0.39626508600139076,0.283860180106993,b33fc639
LSTM16,9,r2,prediction,0.23553009898601807,0.1633517089849741,0.10624457486797323,0.2577736400381906,0.15995918223587158,0.18457184102260552,b33fc639
CNNRNN16,9,r2,prediction,0.23825067395557165,0.1747791300818331,0.18636758134253506,0.3708870532551164,0.1624847260468648,0.22655383293638423,b33fc639
MLP16,9,r2,prediction,0.22603356112295314,-0.31312207861810926,-0.1502688946606794,0.06343507958985206,0.08747129135219878,-0.017290208242756934,b33fc639
RNN16,10,r2,prediction,0.11694319024995992,-0.3695238434452792,0.11765607158135138,-0.5638358887401338,-0.3806431150010139,-0.21588071707102313,b33fc639
LSTM16,10,r2,prediction,-0.008933419437752832,-0.10015152935686111,0.013515086504372609,-0.23221712072227452,-0.08736868533372721,-0.08303113366924861,b33fc639
CNNRNN16,10,r2,prediction,-0.06190805244524822,-0.19897620396507132,0.07049205181790086,-0.04080487550448342,-0.2960753300375225,-0.10545448202688493,b33fc639
MLP16,10,r2,prediction,-0.06978168522759409,0.09525648489830152,-0.18676578771600671,-0.2672743218070037,-0.16001609820234441,-0.11771628161092948,b33fc639
RNN16,11,r2,prediction,-0.36074327524595207,-0.3105093804140733,-0.16815341964098995,-0.1940864731873313,-0.1944373241415256,-0.24558597452597444,b33fc639
LSTM16,11,r2,prediction,0.2268617150300819,0.2637542924707932,0.14255182627696583,0.3835642094149657,0.36595911144717896,0.2765382309279971,b33fc639
CNNRNN16,11,r2,prediction,0.00957357184702079,-0.012719056534131745,0.20989648550927453,0.2512263587858721,0.41958253061386463,0.17551197804438007,b33fc639
MLP16,11,r2,prediction,-0.4438147416868512,-0.38795481582372093,-0.21638627414145328,-0.3054907398378477,-0.026707440666117854,-0.2760708024311982,b33fc639
RNN16,12,r2,prediction,0.2541350040715932,0.1486930561697304,0.2460258617689346,0.3496912067594835,0.32909391058256,0.2655278078704603,b33fc639
LSTM16,12,r2,prediction,0.2520247941362882,0.3067019762614087,0.2931142537861441,0.4158442140000126,0.2855667178539988,0.3106503912075705,b33fc639
