model,Bounds,I_w,season,metric,stage,HWN,HWF,HWD,HWM,HWA,Average,id_data
CXGB15,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.1884811874536182,-0.23161855584934288,-0.27439938232697747,0.46266941285976326,0.3782092198367222,0.10466837639475665,978f49d7
RNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.19827661696339016,0.42027969310187685,0.2793311796698882,-0.26104074911884867,0.6459282721915884,0.256555002561579,978f49d7
LSTM16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.29618235366604817,0.1448559587911079,0.43373268868796644,-0.017282086272361052,0.3781253074452474,0.24712284446360178,978f49d7
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.651807713297365,0.09234350040166928,0.2030949611673083,0.8481382862137354,-0.46183114507521195,0.2667106632009732,978f49d7
MLP16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.019858686887694987,-0.2379369561673932,0.16913449744967057,0.46120993059228643,0.5269795726786585,0.18784914628818344,978f49d7
CXGB15,2,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-2.644107317238585,-2.8739175041759952,-5.11415889741166,-0.5508203698703311,-1.0186065240652975,-2.440322122552374,978f49d7
RNN16,2,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-0.8959853887028877,-0.6772131564243111,-2.9117383455575085,-0.4956968232720289,-0.13290141130642574,-1.0227070250526324,978f49d7
LSTM16,2,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-1.671947267064636,-1.553186014834834,-5.85058491434093,-0.900128897105678,-1.2434119879187797,-2.2438518162529713,978f49d7
CNNRNN16,2,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-1.5322915754458841,-1.0570864900098513,-3.3081147946399083,-0.7321145871766079,-1.6118949093171362,-1.6483004713178775,978f49d7
MLP16,2,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-1.420254915946923,-1.7315189340804253,-2.2684746873196246,-0.649842026656219,-0.6794999193004199,-1.3499180966607223,978f49d7
CXGB15,3,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-0.02395682647744035,-0.3545989507129823,-0.3740810787654003,-0.39872002966185294,-0.5462017599863307,-0.3395117291208013,978f49d7
RNN16,3,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-0.7092379603453314,-0.5682718147603292,-0.9578465411325208,-0.3562240385165445,-0.9309934270371014,-0.7045147563583655,978f49d7
LSTM16,3,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-0.43246864561934784,-0.6190193546999945,-0.7604358436490448,-0.7028162839514451,-0.7870079550057172,-0.6603496165851099,978f49d7
CNNRNN16,3,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-0.9219744389111892,-1.2134639844010975,-1.3849855408870568,-1.117881454375322,-1.2228274871554228,-1.1722265811460175,978f49d7
MLP16,3,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-0.1937768959210051,-0.18101833767878128,-0.1869436397393247,-0.46154731743682587,-0.19428951994865495,-0.24351514214491837,978f49d7
CXGB15,4,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-2.142465596551469,-0.05546991585656169,0.271843392458784,0.5746939289681383,0.0076293190286272905,-0.26875377439049625,978f49d7
RNN16,4,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.019010450537084833,-0.9923627475206283,-0.9530757006965151,-0.37170724802350685,0.053087515467381774,-0.4490095460472367,978f49d7
LSTM16,4,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-0.6957372298376974,-0.49425443282117576,-0.26938005893107,0.025447037047468424,0.5504288206002672,-0.1766991727884415,978f49d7
CNNRNN16,4,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-1.5357767465547263,-2.3910067186456736,-1.2893469063202883,0.6054146166702713,-0.21875394925498215,-0.9658939408210798,978f49d7
MLP16,4,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.26262834100573607,0.600181211619554,0.6017132147050003,0.6333686462645789,0.6839399403761279,0.5563662707941994,978f49d7
CXGB15,5,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-0.18013134660198826,-0.16570810447743223,-0.056929007556212996,-0.1246687199465295,-0.1551973232205588,-0.13652690036054435,978f49d7
RNN16,5,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.11504772689599707,0.12778431215227182,0.22787610809485515,-0.10448698441871773,-0.04016019683670646,0.06521219317753997,978f49d7
LSTM16,5,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.028813933030242378,0.030713594284820123,0.3073124575403331,-0.030790612454379085,-0.07124091814442624,0.052961690851318056,978f49d7
CNNRNN16,5,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.34045544364638347,0.44566144653725825,0.748466648578161,0.4417931347078988,0.26296158176652973,0.44786765104724624,978f49d7
MLP16,5,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-0.19855517445430437,-0.18802084759051363,-0.13911108223180113,-0.27983181903314835,-0.21594889698393271,-0.20429356405874005,978f49d7
CXGB15,6,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-0.2367145014239791,-0.6593977170840939,-0.6291956815425019,-0.08779924973664288,-0.5379996043343569,-0.4302213508243149,978f49d7
RNN16,6,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.4083426500033389,0.049366671719259125,0.3520770834326462,0.01860705712129762,0.4020404343198555,0.24608677931927944,978f49d7
LSTM16,6,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.07413857478209185,0.03285716894728863,0.1655565546590776,0.03247606684678783,0.14310249552362153,0.08962617215177349,978f49d7
CNNRNN16,6,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.18518205437744872,-0.028441886736039423,0.21060413209090545,0.22176831863989188,0.3158089223207823,0.18098430813859778,978f49d7
MLP16,6,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.05452483643690742,-0.06617875509945259,0.05713588790034596,0.06248719277561654,0.13627381406266115,0.048848595215215694,978f49d7
CXGB15,7,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.39426415983486984,0.1376767454834772,0.14397478239696304,-0.07211024779764075,-0.21381360378379632,0.0779983672267746,978f49d7
RNN16,7,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.7489831290496729,0.6406998658950565,0.7182733639390537,0.2669319277933877,0.5140890850045333,0.5777954743363407,978f49d7
LSTM16,7,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.3057746968333629,0.2662213809103059,0.5843638556068671,0.12257288610805506,0.26653334677434926,0.309093233246588,978f49d7
CNNRNN16,7,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.2337093960682688,0.1509212625106816,0.21438952341691786,0.18627909595883285,0.23682476101405814,0.20442480779375183,978f49d7
MLP16,7,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-0.23326146751599386,-0.15769704687164277,-0.092901782862566,-0.20453424400672282,-0.09819038403504288,-0.15731698505839367,978f49d7
CXGB15,8,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-0.48859337278705217,-1.0503332479211243,-8.39747658986857,0.0509356629364881,-0.3632613340824986,-2.049745776344551,978f49d7
RNN16,8,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-3.081994067526513,-5.89700558766522,-21.275824813781337,-0.7639480705817769,-1.6460372556996918,-6.5329619590509065,978f49d7
LSTM16,8,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-1.9896614092773244,-4.2665132926776606,-17.892145589914268,-0.5398590912080661,-0.7689110087962876,-5.091418078374721,978f49d7
CNNRNN16,8,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-0.7605351603739487,-3.0166357523349383,-14.017665140524915,-1.7968808749168401,-0.7544242336578955,-4.0692282323617075,978f49d7
MLP16,8,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-0.8196991404710492,-1.8424395930612034,-9.200233490244047,0.10823661562047171,-0.25346256601533,-2.4015196348342314,978f49d7
CXGB15,9,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-0.34154880295148304,-1.6482584325199547,-0.6251810238255433,-0.019474662411411048,-0.1411164542557264,-0.5551158751928238,978f49d7
RNN16,9,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.22397677298442364,0.23438854511211693,-0.41399765358744745,-0.3572987587534413,0.28301411445582014,-0.0059833959577056065,978f49d7
LSTM16,9,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-0.39837624171860364,-0.5183831210342562,-0.48842749969481014,-0.23389048446621974,-0.33272208785604684,-0.3943598869539873,978f49d7
CNNRNN16,9,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.18794888530097453,-0.11362857292225526,-0.12045576111599687,-0.09432346491246513,-0.2321410392681742,-0.07451999058358338,978f49d7
MLP16,9,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.16459654438087046,-0.027799634508217652,-0.05472144221517605,-0.01214668604345115,0.05490681519298657,0.024967119361402435,978f49d7
CXGB15,10,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.12233793623762668,-0.136087468310383,-0.3594412428036351,-0.3327412310775144,-0.2326411562976305,-0.18771463245030726,978f49d7
RNN16,10,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.4273658804357765,0.05900233300994051,0.6195993391578993,-0.3178438510477719,0.11446522632836098,0.1805177855768411,978f49d7
LSTM16,10,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-0.27106076201805296,-0.5753069305640364,-0.5033481423432735,-0.3775594573890506,-0.2725747108296295,-0.3999700006288086,978f49d7
CNNRNN16,10,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-1.6882904532999792,-3.829548582232123,-4.443162644036674,-0.924274723492492,-0.4075064235392214,-2.258556565320098,978f49d7
MLP16,10,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-1.021106436011523,-1.1559397894586194,-1.5359830536498418,-0.4953577269634535,-0.5295662466718389,-0.9475906505510554,978f49d7
CXGB15,11,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-0.5840510146315532,-0.4769512072968445,-0.30766546377823256,-0.32343006951600617,-0.017548613953668024,-0.3419292738352609,978f49d7
RNN16,11,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-0.8168812206022202,-0.6740114603102876,-0.5821303611894952,-0.44934035241747927,-0.35156948375381725,-0.5747865756546598,978f49d7
LSTM16,11,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-0.6019040373916449,-0.5865181187137374,-0.4202878282316971,-0.3356893695001586,-0.10500446384571993,-0.40988076353659153,978f49d7
CNNRNN16,11,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-0.20996211494340944,-0.1569221179263418,0.04842670668462079,0.11934483697537412,0.2822919406008155,0.01663585027821184,978f49d7
MLP16,11,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,-0.6157455074381026,-0.5464271995486196,-0.44446858811031476,-0.3391458958326905,-0.23095830150115737,-0.435349098486177,978f49d7
CXGB15,12,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.015777696464301272,-0.050623490018397055,0.12042831677785026,-0.26923727637088546,-0.26624808174165926,-0.08998056697775805,978f49d7
