model,season,metric,stage,HWN,HWF,HWD,HWM,HWA,Average,id_data
RNN16,1,r2,prediction,-0.14489699829820069,0.0653804367590739,-0.03591472311914079,-0.03920145030468647,-0.13199981603529776,-0.05732651019965036,978f49d7
LSTM16,1,r2,prediction,0.025463482720647024,-0.01850933230532692,0.019966730098245233,-0.09554967819785531,-0.05194228106300969,-0.024114215749459933,978f49d7
CNNRNN16,1,r2,prediction,-0.009506466120561496,-0.02767205684174745,-0.13083768441487598,-0.08443958257678386,0.0034558467550351857,-0.04979998863978672,978f49d7
MLP16,1,r2,prediction,-0.004212315362223551,0.026486711451399247,-0.030965107483660548,0.0057534134104959556,0.018898152729265316,0.0031921709490552843,978f49d7
RNN16,1,mape,prediction,1.9167494082071208,2.2375136555466546,1.553093665091451,4.202415258693216,2.1911603883702258,2.420186475181734,978f49d7
LSTM16,1,mape,prediction,1.7172718269128202,2.445034293967696,1.3014805838822054,4.574178271543332,2.061004115998574,2.4197938184609256,978f49d7
CNNRNN16,1,mape,prediction,1.8289298585428215,3.5707670748067177,1.4220531052866472,3.580255965786424,2.0663315770099526,2.4936675162865125,978f49d7
MLP16,1,mape,prediction,1.6195595535356482,2.888016719130148,1.4331071321349709,4.041450142101622,1.5542243322281932,2.3072715758261166,978f49d7
RNN16,1,mae,prediction,0.9084026279392055,0.816904922191744,0.7850100229200064,0.9038960111851945,0.9291808459927273,0.8686788860457757,978f49d7
LSTM16,1,mae,prediction,0.8367409889565693,0.8571687508077558,0.7593322679640873,0.9177158959461819,0.886587092633479,0.8515089992616145,978f49d7
CNNRNN16,1,mae,prediction,0.849990063088636,0.8660516296467279,0.7933736191352556,0.9114421422216853,0.8696130628355359,0.8580941033855682,978f49d7
MLP16,1,mae,prediction,0.8364881663519946,0.8151369405123633,0.7779381437380128,0.8748094893867647,0.8521569305566924,0.8313059341091655,978f49d7
RNN16,1,r2,training,-0.2549697440935945,-0.23652411997881662,-0.28710034908358106,-0.3462142433583415,-0.32693727975208864,-0.2903491472532845,978f49d7
LSTM16,1,r2,training,-0.19295287582045062,-0.25583079310331747,-0.21039350423461145,-0.26598881173281064,-0.2650769775005486,-0.23804859247834775,978f49d7
CNNRNN16,1,r2,training,-0.2460670182474749,-0.2136437883496638,-0.19463849333190786,-0.3064271418814406,-0.32535820079415734,-0.2572269285209289,978f49d7
MLP16,1,r2,training,-0.012262726521564904,-0.006471555172343546,-0.11826704097405294,-0.1271122241559215,-0.08427497092923875,-0.06967770355062433,978f49d7
RNN16,1,mape,training,1.8508472703663927,3.6693473589429924,2.3358419504675245,2.58496513677755,3.548027612503171,2.7978058658115263,978f49d7
LSTM16,1,mape,training,1.810291340593914,3.729115192597523,2.1418941524395776,2.3728594349728924,2.8434160910626205,2.579515242333305,978f49d7
CNNRNN16,1,mape,training,1.8614830893589733,3.6799750994401625,2.154715973227575,2.5749382775046668,3.0450405837625594,2.663230604658788,978f49d7
MLP16,1,mape,training,1.5257191812562552,2.7532096376188755,2.074965777556348,2.192804722547981,2.364885253523376,2.182316914500567,978f49d7
RNN16,1,mae,training,0.9219183919343612,0.9155077608519451,0.976168688292762,0.9910195256225223,0.9721933768922794,0.955361548718774,978f49d7
LSTM16,1,mae,training,0.9021080198921608,0.9226713041513759,0.9534196288616101,0.9441225431805592,0.9607405147249697,0.9366124021621353,978f49d7
CNNRNN16,1,mae,training,0.9256836047343742,0.898475097080469,0.9169475107971727,0.9801730731068863,0.9864870821327246,0.9415532735703256,978f49d7
MLP16,1,mae,training,0.8244884253733197,0.8308212375510815,0.9088310805582189,0.9044556822309989,0.8790488881470531,0.8695290627721344,978f49d7
RNN16,1,r2,CV,-0.3869677440345525,-0.2568175561803419,-0.3146135248981665,-0.3142210379149023,-0.3034266696669635,-0.3152093065389853,978f49d7
LSTM16,1,r2,CV,-0.24095998565132795,-0.295748667998664,-0.2104407766339058,-0.25505997365726635,-0.2535718570689373,-0.2511562522020203,978f49d7
CNNRNN16,1,r2,CV,-0.38451416379789366,-0.3832781112610465,-0.3827357326651315,-0.36527257820751613,-0.3074931175109879,-0.3646587406885151,978f49d7
MLP16,1,r2,CV,-0.430810303749547,-0.38337865437502844,-0.40788608261380843,-0.3788714101103674,-0.40037117477732126,-0.4002635251252145,978f49d7
RNN16,1,mape,CV,1.872372522026314,3.5001302350325663,2.0185484916313783,2.414444593702053,3.7788210470507737,2.716863377888617,978f49d7
LSTM16,1,mape,CV,1.8011767071099418,3.4875309261237732,1.994011516937518,2.4118637330150845,3.1623489569210124,2.5713863680214657,978f49d7
CNNRNN16,1,mape,CV,1.9207553862732816,3.7065888181625137,2.1646969142742436,2.7185306881527502,3.154339364179135,2.732982234208385,978f49d7
MLP16,1,mape,CV,1.8839273298157106,3.644976772512509,2.2228609985143684,2.885377354328142,3.590558698344134,2.845540230702973,978f49d7
RNN16,1,mae,CV,0.9359357829327737,0.8869603140950437,0.9239975640493805,0.9512750992249959,0.9390344585371355,0.9274406437678658,978f49d7
LSTM16,1,mae,CV,0.9111560011561028,0.9063029100647978,0.9173697831813599,0.9481056805632325,0.9412071685281928,0.9248283086987371,978f49d7
CNNRNN16,1,mae,CV,0.9348130764766348,0.9048749525138554,0.929728867798091,0.9682674523781872,0.9417903874864383,0.9358949473306414,978f49d7
