model,season,Bounds,I_w,metric,stage,HWN,HWF,HWD,HWM,HWA,Average,id_data
CXGB15,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.09065859644347207,0.048716697054538294,0.12753877744496978,0.15290132170726511,0.1481573918033081,0.11359455689071067,978f49d7
RNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.006272778084147057,0.039444757016403376,-0.012401746653688317,-0.10703174126193526,-0.053980144482323134,-0.025539219459479255,978f49d7
LSTM16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.10703754751928773,0.07145379579472999,-0.012970832526906007,0.08474691986539118,0.11148484895220057,0.07235045592094069,978f49d7
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.16091486954572765,0.1447188214042523,0.08703437968410577,0.197462238517764,0.21623583668559643,0.16127322916748923,978f49d7
MLP16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.01969732011167724,0.0642381123072584,0.03657680025208909,-0.018918012750591906,-0.020755329456025873,0.01616777809288139,978f49d7
CXGB15,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,1.1690857809402502,1.7456261297629108,1.0216471993497493,1.4166602352714037,1.1520285613465162,1.301009581334166,978f49d7
RNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,1.4799102282894574,1.7656481647966678,1.3622915221698801,2.95440772622461,1.5203530505304506,1.8165221384022132,978f49d7
LSTM16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,1.888555739479538,4.639731888650391,1.6342869207800244,4.429410961789582,2.291587913629563,2.9767146848658195,978f49d7
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,1.4356577852019472,3.3020005766771896,1.4982361941391011,3.0425474541882784,1.7496429159116453,2.2056169852236325,978f49d7
MLP16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,1.280299278172564,2.2747203696994895,1.0076682932764973,1.549389705492932,1.133579367385696,1.4491314028054358,978f49d7
CXGB15,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mae,prediction,0.7546064381725273,0.7129215482072533,0.6728449068673791,0.7205112591664633,0.7702321074462871,0.7262232519719819,978f49d7
RNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mae,prediction,0.8337023099943867,0.8117475899286328,0.7648527277051277,0.8937410576719028,0.868380468492053,0.8344848307584206,978f49d7
LSTM16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mae,prediction,0.7839934487927812,0.7550890129968341,0.7519084621102669,0.8208536085970625,0.8107105395927607,0.7845110144179411,978f49d7
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mae,prediction,0.736601165258302,0.7448065821658086,0.7098035786052733,0.7415219813130671,0.753951006604123,0.7373368627893148,978f49d7
MLP16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mae,prediction,0.8253390452606506,0.7786667441540354,0.724267742375162,0.8534652552694958,0.8240885492882577,0.8011654672695203,978f49d7
CXGB15,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,training,0.6346714284849194,0.6365401090386985,0.6324376622410157,0.5974406021310474,0.588578523226059,0.617933665024348,978f49d7
RNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,training,0.08100798043322999,0.09928960386588326,0.05882156642009595,0.004816301082166352,0.013593540980557095,0.051505798556386526,978f49d7
LSTM16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,training,0.48003876001381984,0.47359079506006174,0.470759164475132,0.41153147480111496,0.4515293502047484,0.45748990891097546,978f49d7
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,training,0.3440342801381524,0.3340202961254414,0.34323115828792583,0.286005800835177,0.2828336254308519,0.3180250321635097,978f49d7
MLP16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,training,0.01753643915640557,-0.021612430295386176,0.05128312497783605,0.03238962848030835,0.03733207177553621,0.02338576681894,978f49d7
CXGB15,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,training,0.8384559182109563,1.298759206133955,0.9558735950906331,1.2434400251546505,1.325802332736911,1.1324662154654213,978f49d7
RNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,training,1.4647835543483299,2.7013463628419148,1.7109826104809198,1.7490021301655863,2.1164275600388023,1.9485084435751105,978f49d7
LSTM16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,training,1.2740289595730743,2.852019712697054,1.4735504100412997,1.9694769406035253,3.336025248929661,2.181020254368923,978f49d7
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,training,1.4286404887266482,3.0702980918759155,1.6895513742762502,2.3556272435049452,3.9802951197075145,2.5048824636182547,978f49d7
MLP16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,training,1.4729785228874828,2.7455595286301033,1.7520828320629036,1.9516211633522247,2.585783638654776,2.101605137117498,978f49d7
CXGB15,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mae,training,0.4976735906634608,0.4864905078530492,0.5066670300943206,0.5244154561686998,0.5310882382786324,0.5092669646116325,978f49d7
RNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mae,training,0.7707870001993066,0.7492665468244711,0.7987729697144978,0.8232846206398167,0.8131666195995074,0.79105555139552,978f49d7
LSTM16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mae,training,0.5461940963877246,0.5280080591987791,0.5609473056367448,0.5918127030847519,0.5633320917170499,0.5580588512050101,978f49d7
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mae,training,0.6192114279194207,0.6097122716064683,0.6321149524514599,0.6578190541025944,0.6612676146097315,0.636025064137935,978f49d7
MLP16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mae,training,0.8139327551868162,0.8268478216433933,0.8154397822966895,0.8045179226639254,0.8106994739575225,0.8142875511496694,978f49d7
CXGB15,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,CV,-0.02319118501074999,-0.056684228710089046,0.036212728311553415,0.06035717081553561,0.011915712510575683,0.005722039583365135,978f49d7
RNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,CV,-0.12624011391189421,-0.07521527450642068,-0.06549262947828266,-0.13000279544903923,-0.10296481480034969,-0.09998312562919728,978f49d7
LSTM16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,CV,0.04437329338320468,0.03673355979248677,0.049971888103548565,-0.006766156349983267,0.027476867458341714,0.030357890477519696,978f49d7
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,CV,-0.10622757262117019,-0.1076034423155918,-0.04032928578062348,-0.07684964895652889,-0.07146310138673814,-0.08049461021213052,978f49d7
MLP16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,CV,-0.011833210781743563,-0.05315636276781831,-0.03302885761686905,-0.016689553850779994,-0.05699963568563769,-0.03434152414056972,978f49d7
CXGB15,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,CV,1.3497375053460958,2.0429397913760323,1.5221837451341833,1.9133656551245877,2.1101372704196875,1.7876727934801173,978f49d7
RNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,CV,1.5226379694299363,2.4059682921109062,1.643559390642223,2.184746944864077,2.0080573846924112,1.9529939963479108,978f49d7
LSTM16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,CV,1.3647885963021469,2.12558180223901,1.565690117874696,1.7316597019921744,2.0310641478131384,1.7637568732442332,978f49d7
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,CV,1.607270637636764,2.9682437347366095,1.7753073887185016,2.6073905888355373,3.1039135854864517,2.4124251870827726,978f49d7
MLP16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,CV,1.407445626124402,3.031062110251062,1.6672156545982117,2.043738350153384,3.317982018817456,2.293488751988903,978f49d7
CXGB15,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mae,CV,0.7727036596881164,0.7539539706191679,0.7702832246701663,0.7789310618282876,0.786136079838729,0.7724015993288934,978f49d7
RNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mae,CV,0.8275778455962013,0.7900529402085952,0.8221879876795908,0.8716152016971624,0.8519683669392105,0.8326804684241521,978f49d7
LSTM16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mae,CV,0.756955442312899,0.7298876827866851,0.7642927157401895,0.808014174635203,0.785977323048813,0.7690254677047579,978f49d7
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mae,CV,0.8124673506802216,0.7838486022768044,0.8043830990939174,0.8436358239459092,0.8333866197779851,0.8155442991549675,978f49d7
MLP16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mae,CV,0.7768292489945644,0.7647015424463892,0.7961533505996666,0.8057877298760272,0.8160808096838227,0.791910536320094,978f49d7
CXGB15,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,TSCV,0.08615455830891781,0.043130942998944044,0.08551888916413322,0.08156467220652597,0.056961183434203394,0.0706660492225449,978f49d7
RNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,TSCV,0.03771978517397522,0.06309208252079268,0.0480463993652996,-0.08131361302955827,0.007683625904120524,0.015045655986925952,978f49d7
LSTM16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,TSCV,0.06618911169056584,0.059916362817416816,-0.0016764363794161278,0.0004312471069320631,0.02318001113860333,0.02960805927482038,978f49d7
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,TSCV,0.040917724751035216,0.037805951045082026,0.043275033726169546,0.02961919054060335,0.012843385609843522,0.03289225713454673,978f49d7
MLP16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,TSCV,0.03285998259726846,0.04288774273209249,0.010013925435138465,0.012412797684692218,-0.008055209652704245,0.018023847759297475,978f49d7
CXGB15,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,TSCV,1.050623149519984,1.9208741054745109,1.1662392213604016,1.3448351833735157,1.9507809031451222,1.4866705125747068,978f49d7
RNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,TSCV,1.2973643443921434,1.703444338746533,1.229527310952988,1.6538870449083212,1.416275721419659,1.460099752083929,978f49d7
LSTM16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,TSCV,1.259825739608997,2.0726604341421715,1.3872549145481254,2.0395069086937436,2.1708586781751036,1.786021335033628,978f49d7
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,TSCV,1.3872745428229722,2.603856997109459,1.345858449613851,2.041476110502154,1.7687653996162627,1.8294462999329397,978f49d7
MLP16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,TSCV,1.155621182375595,1.7304605601991732,1.2821981465986734,1.628221898082234,2.0367858989814804,1.5666575372474312,978f49d7
