model,season,metric,stage,HWN,HWF,HWD,HWM,HWA,Average,id_data
Linear,1,r2,prediction,-2.3795689753968268,-3.60804875748687,-14.534629273245445,-3.104583926686723,-3.3977646004524535,-5.404919106653663,6bfb94aa
RF5,1,r2,prediction,-4.483730158730158,-3.3791879350348024,-4.33448905109489,-1.1545471052594802,-1.1736213361561818,-2.9051151172551024,6bfb94aa
RF10,1,r2,prediction,-3.247420634920635,-1.8666705336426914,-3.944251824817518,-1.0146080184153257,-0.5305216771930716,-2.1206945377978483,6bfb94aa
SVR-rbf,1,r2,prediction,-2.257007717500985,-3.090433104692046,-3.4145203682471195,-0.9407374207994752,-0.5683643170961652,-2.054212585667158,6bfb94aa
SVR-linear,1,r2,prediction,-1.779933344583462,-2.4335406005423876,-5.236097513327451,-2.0192545112748674,-0.9993259543954436,-2.4936303848247223,6bfb94aa
SVR-cubic,1,r2,prediction,-3.2757564765908445,-4.332497302300413,-4.563628860879813,-1.6601972784451,-1.1415870395196217,-2.9947333915471583,6bfb94aa
XGBL10,1,r2,prediction,-2.3405589123279236,-1.8448172496828081,-4.295169459907759,-2.764244605052638,-0.5523409530348595,-2.3594262360011977,6bfb94aa
XGBL15,1,r2,prediction,-2.363655834510135,-1.642786156052586,-3.3553501721313497,-2.7445196127208824,-0.4877178319472668,-2.1188059214724437,6bfb94aa
XGBT10,1,r2,prediction,-2.3405589123279236,-1.8448172496828081,-4.295169459907759,-2.764244605052638,-0.5523409530348595,-2.3594262360011977,6bfb94aa
XGBT15,1,r2,prediction,-2.363655834510135,-1.642786156052586,-3.3553501721313497,-2.7445196127208824,-0.4877178319472668,-2.1188059214724437,6bfb94aa
GPR,1,r2,prediction,-1.8099723907511174,-2.466456644117372,-3.8619074078751288,-1.416629891531004,-0.6018356446404216,-2.031360395783009,6bfb94aa
RNN8,1,r2,prediction,-1.4159087778052073,-4.833329037143455,-10.051442535913953,-2.0654050324759408,-1.1953789889300812,-3.912292874453727,6bfb94aa
LSTM8,1,r2,prediction,-2.7021562988837915,-3.3141578723554295,-4.169480438297584,-1.3201475697369642,-1.4996002107781496,-2.601108478010384,6bfb94aa
RNN16,1,r2,prediction,-1.8806747232619752,-3.265213631076966,-0.8119961097363608,-1.1699619783899586,-1.3754349426275034,-1.700656277018553,6bfb94aa
LSTM16,1,r2,prediction,-2.9878382646899353,-2.9375716075626204,-5.501281766503807,-1.49450037030816,-0.9471581477308282,-2.77367003135907,6bfb94aa
SLSTM16,1,r2,prediction,-2.675934575588638,-3.268803805180296,-3.8554252014444925,-1.4444268539931726,-1.1230821392908186,-2.4735345150994834,6bfb94aa
CNNRNN16,1,r2,prediction,-2.1532838382570643,-1.6196610917707526,-1.7433832240647549,-0.34133951133617746,-0.6652839353131001,-1.3045903201483697,6bfb94aa
MLP16,1,r2,prediction,-1.758408439353445,-5.251152847566069,-5.014564816840031,-1.937418253138846,-0.5113845718213494,-2.8945857857439483,6bfb94aa
MLP8,1,r2,prediction,-0.8776065845299927,-1.3851979119785458,-7.5040261776658514,-2.3796468914679405,-1.6971640904958614,-2.7687283312276385,6bfb94aa
Linear,1,mape,prediction,1.8885968273002132,2.7834589279001305,1.8626267089444373,1.8095694551171246,3.0290624836356113,2.2746628805795033,6bfb94aa
RF5,1,mape,prediction,1.5627756228157623,1.867767209068876,1.5553866806242276,0.9188592572677482,1.2945152156420137,1.4398607970837254,6bfb94aa
RF10,1,mape,prediction,1.2117740507178318,1.0975079848747653,1.4292542684954677,0.9881025077411776,1.4878847299356384,1.242904708352976,6bfb94aa
SVR-rbf,1,mape,prediction,0.7112136484217683,0.7554107711439089,0.8769283683730139,1.0462391771816955,1.3760757902696972,0.9531735510780168,6bfb94aa
SVR-linear,1,mape,prediction,1.6594733645326643,2.4753455652468324,1.7405375774646779,1.4989600886731846,3.708370625097138,2.2165374442028996,6bfb94aa
SVR-cubic,1,mape,prediction,1.1487528565404765,1.3528125957624895,1.15032138777334,0.9963422119353691,0.9530105437713822,1.1202479191566117,6bfb94aa
