id,filename,method,rolling,variables,boxes,reference_period,target_period
df9a31c5,index_df9a31c5.parquet,max,1,SP,282|290|-34|-30,NoRef,1972-2022
20a07cea,index_20a07cea.parquet,max,1,SP,282|290|-38|-34,NoRef,1972-2022
cfb03125,index_cfb03125.parquet,max,1,SP,282|290|-43|-38,NoRef,1972-2022
9169e0dc,index_9169e0dc.parquet,max,1,SP,282|290|-56|-43,NoRef,1972-2022
0b0bffae,index_0b0bffae.parquet,max,1,SP,155|280|-55|10,NoRef,1972-2022
b328d4ae,index_b328d4ae.parquet,anom,1,U10,285|290|-37|-30,1972-2022,1972-2022
43701738,index_43701738.parquet,anom,1,SP,282|290|-34|-30,1980-2010,1972-2022
e306f58b,index_e306f58b.parquet,anom,1,SP,282|290|-38|-34,1980-2010,1972-2022
e601b072,index_e601b072.parquet,anom,1,SP,282|290|-43|-38,1980-2010,1972-2022
ecaf68aa,index_ecaf68aa.parquet,anom,1,SP,282|290|-56|-43,1980-2010,1972-2022
711b08fc,index_711b08fc.parquet,max,1,SP,220|280|-35|-10,NoRef,1972-2022
89595d7b,index_89595d7b.parquet,anom,1,U10,282|290|-37|-30,1980-2010,1972-2022
f27c56aa,index_f27c56aa.parquet,anom,1,SP,236|246|37.5|43,1980-2010,1972-2022
5b9237bf,index_5b9237bf.parquet,anom,1,SP,236|246|32|37.5,1980-2010,1972-2022
46fa0cb8,index_46fa0cb8.parquet,max,1,SP,190|235|15|43,NoRef,1972-2022
63520cd8,index_63520cd8.parquet,anom,1,U10,236|246|32|43,1980-2010,1972-2022
e5f11df1,index_e5f11df1.parquet,anom,1,MSL,282|292|-34|-30,1980-2010,1972-2022
47e0b690,index_47e0b690.parquet,anom,1,MSL,282|292|-38|-34,1980-2010,1972-2022
fd2cfe4d,index_fd2cfe4d.parquet,anom,1,MSL,282|292|-43|-38,1980-2010,1972-2022
b91ccd4e,index_b91ccd4e.parquet,max,1,MSL,245|284|-45|-15,NoRef,1972-2022
c6184040,index_c6184040.parquet,anom,1,U,282|289|-34|-30,1980-2010,1972-2022
c1c59e4d,index_c1c59e4d.parquet,anom,1,U,289|290.5|-34|-30,1980-2010,1972-2022
8c4a4c9c,index_8c4a4c9c.parquet,anom,1,U,282|289|-38|-34,1980-2010,1972-2022
cb76aaa7,index_cb76aaa7.parquet,anom,1,U,282|288.5|-43|-38,1980-2010,1972-2022
d416bd24,index_d416bd24.parquet,anom,1,U,282|288.5|-53|-43,1980-2010,1972-2022
b259d0dd,index_b259d0dd.parquet,anom,1,MSL,282|290.5|-34|-30,1980-2010,1972-2022
a15e4d0f,index_a15e4d0f.parquet,anom,1,MSL,282|289|-38|-34,1980-2010,1972-2022
1223f1f4,index_1223f1f4.parquet,anom,1,MSL,282|288.5|-43|-38,1980-2010,1972-2022
0d0d4c54,index_0d0d4c54.parquet,anom,1,MSL,282|288.5|-53|-43,1980-2010,1972-2022
051cd6f3,index_051cd6f3.parquet,max,1,MSL,282|292|-34|-30,NoRef,1972-2022
422ed1de,index_422ed1de.parquet,max,1,MSL,282|292|-38|-34,NoRef,1972-2022
39b84026,index_39b84026.parquet,max,1,MSL,282|292|-43|-38,NoRef,1972-2022
06fc643c,index_06fc643c.parquet,anom,1,ADV,282|288|-43|-26,1980-2010,1972-2022
13e2f761,index_13e2f761.parquet,max,1,MSL,260|284|-55|-25,NoRef,1972-2022
2748fd3a,index_2748fd3a.parquet,anom,1,MSL,290|295|-42|-33,1980-2010,1972-2022
31d72c7e,index_31d72c7e.parquet,anom,1,ADV,282|288|-42|-33,1980-2010,1972-2022
aa75d48e,index_aa75d48e.parquet,anom,1,U,287|289|-42|-33,1980-2010,1972-2022
fde0e327,index_fde0e327.parquet,anom,1,SST,190|240|-5|5,1980-2010,1972-2022
340e2882,index_340e2882.parquet,anom,1,SST,270|280|-10|0,1980-2010,1972-2022
8c5bce37,index_8c5bce37.parquet,anom,1,T,286|288|-42|-33,1980-2010,1972-2022
880b8b63,index_880b8b63.parquet,max,1,MSL,260|284|-44|-17,NoRef,1972-2022
c6b80290,index_c6b80290.parquet,anom,1,U,287.5|289.5|-37|-33,1980-2010,1972-2022
3111321a,index_3111321a.parquet,anom,1,U,286.5|288.5|-42|-37,1980-2010,1972-2022
88249a81,index_88249a81.parquet,anom,1,MSL,286|292|-52|-40,1980-2010,1972-2022
f6e4a28a,index_f6e4a28a.parquet,anom,1,MSL,286|288.5|-33|-28,1980-2010,1972-2022
7728bf70,index_7728bf70.parquet,anom,1,MSL,280|286|-38|-30,1980-2010,1972-2022
a66b8219,index_a66b8219.parquet,anom,1,MSL,291|295|-38|-30,1980-2010,1972-2022
285aed8e,index_285aed8e.parquet,anom,1,ADV,282|286|-42|-33,1980-2010,1972-2022
59f835e4,index_59f835e4.parquet,anom,1,ADV,268|283|-32|-20,1980-2010,1972-2022
