model,season,index,best_value,top_n,var_thresh,extra_indices,only_sea
GPR,1,Average,0.2280296518385565,5,,,False
GPR,1,Average,0.2280296518385565,5,0.05,,False
XGB15,1,HWA,0.276339128212918,10,0.15,PDO-ONI-SAM,True
GPR,1,HWA,0.2666494466707336,5,,,False
SVR-rbf,1,HWD,0.0201251720296908,5,,,False
SVR-rbf,1,HWD,0.0201251720296908,5,0.05,,False
SVR-rbf,1,HWF,0.2194926790525961,5,,,False
SVR-rbf,1,HWF,0.2194926790525961,5,0.05,,False
GPR,1,HWM,0.2579345312072665,5,,PDO-ONI-SAM,False
GPR,1,HWM,0.2579345312072665,5,0.05,PDO-ONI-SAM,False
RF10,1,HWN,0.5597990748620295,20,,PDO-ONI-SAM,True
RF10,1,HWN,0.5597990748620295,20,0.05,PDO-ONI-SAM,True
GPR,2,Average,0.1552615795613274,15,,,False
GPR,2,Average,0.1552615795613274,15,0.05,,False
GPR,2,HWA,0.1710564326889829,15,,,False
GPR,2,HWA,0.1710564326889829,15,0.05,,False
GPR,2,HWD,0.0801493860511256,5,,,False
GPR,2,HWD,0.0801493860511256,5,0.05,,False
GPR,2,HWF,0.2076199647083378,5,,,False
GPR,2,HWF,0.2076199647083378,5,0.05,,False
SVR-rbf,2,HWM,0.2098588634843145,30,,,False
SVR-rbf,2,HWM,0.2098588634843145,30,0.05,,False
GPR,2,HWN,0.3510758124733589,20,,,False
GPR,2,HWN,0.3510758124733589,20,0.05,,False
SVR-rbf,3,Average,-0.4586255455877467,15,,,False
SVR-rbf,3,Average,-0.4586255455877467,15,0.05,,False
RF10,3,HWA,-0.2806078016174281,5,0.1,,True
XGB10,3,HWA,-0.3666128755996423,20,,,True
GPR,3,HWD,-0.1591391135155574,20,,,True
GPR,3,HWD,-0.1591391135155574,20,0.05,,True
RF5,3,HWF,-0.1103968921058513,30,0.1,,True
RF5,3,HWF,-0.1513966928687137,5,,,False
RF10,3,HWM,-0.6181947397873231,5,0.1,,True
SVR-rbf,3,HWM,-0.6682411407564144,30,0.1,,False
RF10,3,HWN,-0.1798374733753354,5,0.1,,True
GPR,3,HWN,-0.2792732818215602,20,,PDO-ONI-SAM,True
SVR-rbf,4,Average,-0.2222070962947571,20,0.05,,False
Linear,4,Average,-0.25073578324701,5,0.05,,False
XGB15,4,HWA,0.0636140307330265,10,,,False
RF10,4,HWA,0.0476291847258379,15,,,False
SVR-rbf,4,HWD,-0.311557439619514,20,0.05,,False
SVR-rbf,4,HWD,-0.341444120965629,20,,,False
RF5,4,HWF,-0.0971621169292599,30,,PDO-ONI-SAM,False
SVR-rbf,4,HWF,-0.1891385294252979,20,0.05,,False
RF5,4,HWM,-0.0198763281171167,5,,,False
Linear,4,HWM,-0.0326485813720533,5,0.15,PDO-ONI-SAM,True
RF5,4,HWN,0.0038391196092876,5,,,False
RF10,4,HWN,-0.0279804565208042,5,,,False
SVR-rbf,5,Average,-0.0278935862008148,10,0.15,,False
GPR,5,Average,-0.041751981040599,10,0.15,,False
SVR-rbf,5,HWA,0.226905556116602,10,0.15,,False
GPR,5,HWA,0.203749550649338,10,0.15,,False
SVR-rbf,5,HWD,-0.0904213402746987,10,,,False
