model,season,index,best_value,training_value,top_n,var_thresh,extra_indices,only_sea
RF10,0,Average,-0.7081873981663623,0.7466608444183287,,,,
RF10,0,Average,-0.7081873981663623,0.7466608444183287,,,,
XGB15,0,HWA,0.2714085772194596,0.8506582735786412,,,,
XGB15,0,HWA,0.2714085772194596,0.8506582735786412,,,,
RF10,0,HWD,-0.1053940886699509,0.7791197408896339,,,,
RF10,0,HWD,-0.1053940886699509,0.7791197408896339,,,,
RF10,0,HWF,-0.749807454829065,0.7488575456437494,,,,
RF10,0,HWF,-0.749807454829065,0.7488575456437494,,,,
XGB15,0,HWM,0.3666450531322052,0.8294671688299485,,,,
XGB15,0,HWM,0.3666450531322052,0.8294671688299485,,,,
RF10,0,HWN,-1.3683412002697235,0.8437771339857504,,,,
RF10,0,HWN,-1.3683412002697235,0.8437771339857504,,,,
SVR-rbf,1,Average,0.136739876340134,0.6452090325992194,10.0,,PDO-ONI-SAM,False
SVR-rbf,1,Average,0.136739876340134,0.6452090325992194,10.0,0.05,PDO-ONI-SAM,False
GPR,1,HWA,0.4133170745915574,0.4398880055965908,10.0,,PDO-ONI-SAM,False
GPR,1,HWA,0.4133170745915574,0.4398880055965908,10.0,0.05,PDO-ONI-SAM,False
GPR,1,HWD,-0.1994967780429757,0.7420513243796932,,,,
GPR,1,HWD,-0.1994967780429757,0.7420513243796932,,,,
XGB15,1,HWF,0.5611788503726387,0.9165264010357376,20.0,,PDO-ONI-SAM,True
XGB15,1,HWF,0.5611788503726387,0.9165264010357376,20.0,0.05,PDO-ONI-SAM,True
RF10,1,HWM,0.5766689341168942,0.8723332778420493,10.0,,PDO-ONI-SAM,False
RF10,1,HWM,0.5766689341168942,0.8723332778420493,10.0,0.05,PDO-ONI-SAM,False
SVR-rbf,1,HWN,0.6964625407873897,0.7872010168887932,10.0,,PDO-ONI-SAM,False
SVR-rbf,1,HWN,0.6964625407873897,0.7872010168887932,10.0,0.05,PDO-ONI-SAM,False
SVR-rbf,2,Average,-0.3196255479041486,0.7549180824015527,,,,
SVR-rbf,2,Average,-0.3196255479041486,0.7549180824015527,,,,
GPR,2,HWA,-0.1056757336244016,0.7287726192395817,,,,
GPR,2,HWA,-0.1056757336244016,0.7287726192395817,,,,
SVR-rbf,2,HWD,-0.3462755215960005,0.7255602197048048,,,,
SVR-rbf,2,HWD,-0.3462755215960005,0.7255602197048048,,,,
XGB15,2,HWF,-0.926719294410218,0.842659994838611,5.0,,,True
XGB15,2,HWF,-0.926719294410218,0.842659994838611,5.0,0.05,,True
SVR-rbf,2,HWM,0.0127228385916177,0.8569203139673425,,,,
SVR-rbf,2,HWM,0.0127228385916177,0.8569203139673425,,,,
SVR-rbf,2,HWN,-0.0827911746869893,0.8331179656166912,,,,
SVR-rbf,2,HWN,-0.0827911746869893,0.8331179656166912,,,,
RF5,3,Average,0.3425457158564332,0.8224731535191712,30.0,,PDO-ONI-SAM,False
RF5,3,Average,0.3425457158564332,0.8224731535191712,30.0,0.05,PDO-ONI-SAM,False
RF5,3,HWA,0.5446886184645561,0.8106806429946991,15.0,,PDO-ONI-SAM,False
RF5,3,HWA,0.5446886184645561,0.8106806429946991,15.0,0.05,PDO-ONI-SAM,False
RF5,3,HWD,0.6831565549427239,0.7965400120747075,,,,
RF5,3,HWD,0.6831565549427239,0.7965400120747075,,,,
RF10,3,HWF,0.3717806559821085,0.8559623292410212,20.0,0.15,PDO-ONI-SAM,False
